song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,yearly_streams,artist_ids
rockstar (feat. 21 Savage),"Post Malone, 21 Savage",,,beerbongs & bentleys,2018-04-27,0e7ipj03S05BNilyu5bRzt,752016823,"246dkjvS1zLTtiykXe5h60, 1URnnhqYAYcrqrcwql10ft"
Havana (feat. Young Thug),"Camila Cabello, Young Thug","pop, rap, melodic rap, trap","Hip Hop, Pop",Camila,2018-01-12,1rfofaqEpACxVEHIZBJe6W,594615616,"4nDoRrQiYLoBzwC5BhVJzF, 50co4Is1HCEo8bhOyUWKpn"
New Rules,Dua Lipa,pop,Pop,Dua Lipa (Complete Edition),2015-00-00,2xJCMIJfcNYDc5iR0sAm2O,480752461,6M2wZ9GZgrQXHCFfjv46we
Wolves,"Selena Gomez, Marshmello","pop, edm","Electronic, Pop",Wolves,2017-10-25,0tBbt8CrmxbjRP0pueQkyU,346376555,"0C8ZW7ezQVs4URX5aX7Kqx, 64KEffDW9EtZ1y2vBYgq8T"
Shape of You,Ed Sheeran,soft pop,Pop,÷ (Deluxe),2017-03-03,7qiZfU4dY1lWllzX7mPBI3,488523973,6eUKZXaKkcviH0Ku9w2n3V
River (feat. Ed Sheeran),"Eminem, Ed Sheeran","rap, hip hop, soft pop","Hip Hop, Pop",Revival,2017-12-15,1cS0TgbR263ey9jn0MwD2s,292545256,"7dGJo4pcD2V6oG8kP0tJRR, 6eUKZXaKkcviH0Ku9w2n3V"
Échame La Culpa,"Luis Fonsi, Demi Lovato","latin, ",Latin,Échame La Culpa,2017-11-17,2hl6q70unbviGo3g1R7uFx,339514670,"4V8Sr092TqfHkfAA5fXXqG, 6S2OmqARrzebs0tKUEyXyp"
What Lovers Do,"Maroon 5, SZA","pop, r&b","Pop, R&B",Red Pill Blues (Deluxe),2017-11-03,0WdGQhoAP2LBsqr5Jhit2g,299299576,"04gDigrS5kc9YWfZHwBETP, 7tYKF4w9nC0nq9CsPZTHyP"
Gucci Gang,Lil Pump,,,Lil Pump,2017-10-06,43ZyHQITOjhciSUUNPVRHc,116808280,3wyVrVrFCkukjdVIdirGVY
Him & I (with Halsey),"G-Eazy, Halsey",,,The Beautiful & Damned,2017-12-15,5k38wzpLb15YgncyWdTZE4,216377050,"02kJSzxNuaWGqwubyUba0Z, 26VFTg2z8YR0cCuwLzESi2"
Perfect,Ed Sheeran,soft pop,Pop,÷ (Deluxe),2017-03-03,0tgVpDi06FyKpA1z0VMD4v,454639958,6eUKZXaKkcviH0Ku9w2n3V
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber","latin, reggaeton, ",Latin,VIDA,2019-02-01,1vnnXMrBeEWiRg3YCMCjQq,127656711,"4V8Sr092TqfHkfAA5fXXqG, 4VMYDCV2IEDYJArk749S6m, 1uNFoZAHBGtllmzznpCI3s"
Let You Down,NF,christian hip hop,Hip Hop,Perception,2017-10-06,52okn5MNA47tk87PeZJLEL,280786270,6fOMl44jA4Sp5b9PpYCkzz
Corazón (feat. Nego do Borel),"Maluma, Nego do Borel","reggaeton, latin, urbano latino, funk, funk pop, brazilian funk, brazilian pop","Hip Hop, Pop, R&B, Latin",F.A.M.E.,2018-05-18,5cepAtqnEQ6yVG6088zMMu,223367882,"1r4hJ1h58CWwUQe3MxPuau, 1B0Rp4SWGnFgGCPU5Pju6E"
Silence,"Marshmello, Khalid","edm, ",Electronic,Silence,2017-08-11,7vGuf3Y35N4wmASOKLUVVU,285872863,"64KEffDW9EtZ1y2vBYgq8T, 6LuN9FCkKOj5PcnpouEgny"
Criminal,"NATTI NATASHA, Ozuna","reggaeton, latin, urbano latino, bachata, trap latino",Latin,Criminal,2017-09-01,6Za3190Sbw39BBC77WSS1C,232069656,"1GDbiv3spRmZ1XdM1jQbT7, 1i8SpTcr7yvPOmcqrbnVXY"
Too Good At Goodbyes,Sam Smith,soft pop,Pop,The Thrill Of It All (Special Edition),2017-11-03,1mXVgsBdtIVeCLJnSnmtdV,348854251,2wY79sveU1sp5g7SokKOiI
Young Dumb & Broke,Khalid,,,American Teen,2017-04-27,5Z3GHaZ6ec9bsiI5BenrbY,259948342,6LuN9FCkKOj5PcnpouEgny
