spotify_track_id,song_name,artist_names,artist_ids,yearly_streams,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
09keT5ocFhEd5W5HidiUNq,Chk Chk Boom,Stray Kids,2dIgFjalVxs4ThymZ67YCE,3103367,Pop,k-pop,ATE,2024-07-19,Republic Records - Stray Kids,2024-07-19,day,album
6qafqn8bBMy7t5c5WqpyRk,Closer Than This,Jimin,1oSPZhvZMIrWW5I41kPkkY,7278565,Pop,k-pop,MUSE,2024-07-19,BIGHIT MUSIC,2024-07-19,day,album
3LWVXp636uLT356Rj08Jaz,Be Mine,Jimin,1oSPZhvZMIrWW5I41kPkkY,65535061,Pop,k-pop,MUSE,2024-07-19,BIGHIT MUSIC,2024-07-19,day,album
3d2bsbugow8JiNvuaRupFH,Slow Dance (feat. Sofia Carson),"Jimin, Sofia Carson","1oSPZhvZMIrWW5I41kPkkY, 7bp2lSdh12wcA8LyB1srfJ",7036212,Pop,"k-pop, ",MUSE,2024-07-19,BIGHIT MUSIC,2024-07-19,day,album
7gMfVc4zfNIxuMyMGglOHa,Rebirth (Intro),Jimin,1oSPZhvZMIrWW5I41kPkkY,5059394,Pop,k-pop,MUSE,2024-07-19,BIGHIT MUSIC,2024-07-19,day,album
0MvgUGhKvrStBo2XsPuwt6,MOUNTAINS,Stray Kids,2dIgFjalVxs4ThymZ67YCE,1879895,Pop,k-pop,ATE,2024-07-19,Republic Records - Stray Kids,2024-07-19,day,album
6ojfWEW5oBSyXQqO9G72iM,JJAM,Stray Kids,2dIgFjalVxs4ThymZ67YCE,1742922,Pop,k-pop,ATE,2024-07-19,Republic Records - Stray Kids,2024-07-19,day,album
45zLrK0668WQ5JFMyiYmCS,Interlude : Showtime,Jimin,1oSPZhvZMIrWW5I41kPkkY,1704319,Pop,k-pop,MUSE,2024-07-19,BIGHIT MUSIC,2024-07-19,day,album
04A4WyCRyHQ8Nb3u3IsfzH,I Like It,Stray Kids,2dIgFjalVxs4ThymZ67YCE,1643494,Pop,k-pop,ATE,2024-07-19,Republic Records - Stray Kids,2024-07-19,day,album
4tIAHpF340zdoCCIBFcyit,Runners,Stray Kids,2dIgFjalVxs4ThymZ67YCE,1469650,Pop,k-pop,ATE,2024-07-19,Republic Records - Stray Kids,2024-07-19,day,album
19RybK6XDbAVpcdxSbZL1o,Apple,Charli xcx,25uiPmTg16RbhZWAqwLBy5,169987351,Pop,"hyperpop, art pop",BRAT,2024-06-07,Atlantic Records,2024-06-07,day,album
08H8CT32rALUZvL8TE4ruD,Stray Kids,Stray Kids,2dIgFjalVxs4ThymZ67YCE,1405415,Pop,k-pop,ATE,2024-07-19,Republic Records - Stray Kids,2024-07-19,day,album
3uC4r2daXertBxxc8BpbbN,Lithonia,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,1350780,,,Bando Stone and The New World,2024-07-19,Wolf+Rothstein/RCA Records,2024-07-19,day,album
1T0hdoMSjzoKUPbKRmrDg3,twilight,Stray Kids,2dIgFjalVxs4ThymZ67YCE,1342094,Pop,k-pop,ATE,2024-07-19,Republic Records - Stray Kids,2024-07-19,day,album
0GqAWZe1A5ecKadZrHk6XH,Chk Chk Boom,Stray Kids,2dIgFjalVxs4ThymZ67YCE,56451069,Pop,k-pop,ATE,2024-07-19,Sony Music Labels Inc.,2024-07-19,day,album
5pVJ3IlnpIorU44oXizzG5,Orion,"Boza, ELENA ROSE","2NfSBtmWe7oPw1EmetJVso, 0zO8yNnw5GQgutcIyXfGBY",16291101,"R&b, Latin","reggaeton, urbano latino, latin r&b",Orion,2024-05-29,Sony Music Latin,2024-05-29,day,single
1imaIe1NEAaWnLF0BY0V6F,sining (feat. Jay R),"Dionela, Jay R","1chOgh5tgwfiyJ2zhUHwBj, 3z0IVhtuFvt9VYUZGT98PU",94325894,"Traditional music, Pop, Hip Hop, R&B","opm, pinoy r&b, p-pop, harana, pinoy hip hop",sining (feat. Jay R),2024-06-07,Universal Music Philippines Inc.,2024-06-07,day,single
5eBk8ZXcd0pb0AO4a5PpOg,Gala bunga matahari,Sal Priadi,1NjxFrpEGZTV2Ny0OJxeWu,41755513,"Rock, Pop","indonesian indie, indonesian pop",MARKERS AND SUCH PENS FLASHDISKS,2024-04-30,Orang Pertunjukan,2024-04-30,day,album
4S1VYqwfkLit9mKVY3MXoo,Forever Young,Alphaville,0xliTEbFfy5HQHvsTknTkX,212574346,Pop,synthpop,Forever Young,1984-00-00,WM Germany,1984,year,album
3GWUv0TDO5E3cHfsxYeptt,TOMMY & PAMELA,"Peso Pluma, Kenia OS","12GqGscKJx3aE4t07u7eVZ, 31VFEohvhOUKrtAONEBhMG",40152300,Latin,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda, reggaeton mexa",ÉXODO,2024-06-20,2024 Double P Records,2024-06-20,day,album
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],173355697,Hip Hop,rap,HIGHEST IN THE ROOM,2019-10-04,Cactus Jack/Epic,2019-10-04,day,single
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs","246dkjvS1zLTtiykXe5h60, 718COspgdWOnwOFpJHRZHS",38110176,Country,country,Guy For That,2024-07-26,Mercury Records/Republic Records,2024-07-26,day,single
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,340466988,,,No Strings Attached,2000-03-21,Jive,2000-03-21,day,album
02YMpD1xbZZzpZbuZNvmD7,Sideways,"Gordo, Drake","4Ge9GwmWnOQsohwPTrXyHc, 3TVXtAsR1Inumwj472S9r4",7671477,"Electronic, Hip Hop","afro house, latin house, rap, hip hop",DIAMANTE,2024-07-26,"Ultra Records, LLC",2024-07-26,day,album
3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay,Otis Redding,60df5JBRRPcnSpsIMxxwQm,2505203,"R&B, Blues","soul, motown, soul blues",The Dock of the Bay (Mono),1968-00-00,Rhino Atlantic,1968,year,album
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,32896408,,,Millennium,1999-05-18,Jive,1999-05-18,day,album
0OA00aPt3BV10qeMIs3meW,Big Dawgs,"Hanumankind, Kalmi","4nVa6XlBFlIkF6msW57PHp, 6tYCSHLtTI54AQJFOMfU45",276899077,Hip Hop,"malayalam hip hop, desi hip hop, ",Big Dawgs,2024-07-09,Universal Music India Pvt Ltd.,2024-07-09,day,single
