song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,album_label,ISRC,yearly_streams,artist_ids
Plastic,"Future, Lil Uzi Vert","rap, melodic rap",Hip Hop,Pluto x Baby Pluto,2020-11-13,6GK5du9ndZ7ZwMBrTRTGMH,Generation Now/Atlantic,USAT22007327,972359,"1RyvyyTE3xzB2ZywiAwp0i, 4O15NlyKLIASxsJ0PrXPfz"
Realize,AC/DC,"rock, hard rock, classic rock, rock and roll",Rock,POWER UP,2020-11-13,4JDjZ2AzlHnde5uUy0TveV,Columbia,USSM11914741,930458,711MCceyCBcFnzjGY4Q7Un
Enchule,Rauw Alejandro,"reggaeton, urbano latino, trap latino, latin",Latin,Afrodisíaco,2020-11-13,0S9ZVNTNRzLMgb96tmmG1u,Sony Music Latin/Duars Entertainment,USSD12000358,5561227,1mcTU81TzQhprhouKaTkpq
Fly Away,Tones And I,,,Fly Away,2020-11-13,1jgu8MFTEGdL1wjw9gZj5y,Sony Music Entertainment,USAT22006865,835421,2NjfBq1NflQcKSeiDooVjY
Bought A Bad Bitch,"Future, Lil Uzi Vert","rap, melodic rap",Hip Hop,Pluto x Baby Pluto,2020-11-13,5syD6f38Jhckk5g9DgoCta,Generation Now/Atlantic,USAT22007329,807798,"1RyvyyTE3xzB2ZywiAwp0i, 4O15NlyKLIASxsJ0PrXPfz"
Rockstar Chainz,Future,rap,Hip Hop,Pluto x Baby Pluto,2020-11-13,0NXeZp31dd0cJ9t8FdKsTg,Generation Now/Atlantic,USAT22007331,746262,1RyvyyTE3xzB2ZywiAwp0i
It's Beginning to Look a Lot like Christmas,Michael Bublé,christmas,Jazz,Christmas,2011-10-24,0lLdorYw7lVrJydTINhWdI,143/Reprise,USRE11100700,129871131,1GxkXlMwML1oSg5eLPiAz3
Rockin' Around The Christmas Tree,Brenda Lee,christmas,Jazz,Merry Christmas From Brenda Lee,1964-10-19,2EjXfH91m7f8HiJN1yQg97,MCA Nashville,USMC15848998,129351002,4cPHsZM98sKzmV26wlwD2W
Jingle Bell Rock,Bobby Helms,christmas,Jazz,The Classic Years: 1956-1962,1992-01-01,3hBXvHLlTHvnbwrPbeoyAj,Geffen,USMC15746480,13343988,38EmEgXkgK51MT2tPY0EoC
It's the Most Wonderful Time of the Year,Andy Williams,"christmas, adult standards","Easy listening, Jazz",The Andy Williams Christmas Album,1963-00-00,1IcR6RlgvDczfvoWJSSY2A,Columbia,USSM16300086,112816053,4sj6D0zlMOl25nprDJBiU9
Underneath the Tree,Kelly Clarkson,christmas,Jazz,Wrapped In Red,2013-10-25,3nAp4IvdMPPWEH9uuXFFV5,RCA Records Label,GBCTA1300103,100792566,3BmGtnKgCSGYIUhmivXKWX
Mistletoe,Justin Bieber,,,Under The Mistletoe (Deluxe Edition),2011-01-01,7xapw9Oy21WpfEcib2ErSA,RBMG/Def Jam,USUM71116290,85293761,1uNFoZAHBGtllmzznpCI3s
