spotify_track_id,song_name,artist_names,artist_ids,all_time_streams,years_on_chart,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras","2wY79sveU1sp5g7SokKOiI, 3Xt3RrJMFv5SZkCfUE8C1J",853107897,"2022,2023",Pop,"soft pop, ",Unholy (feat. Kim Petras),2022-09-22,Capitol Records UK / EMI,2022-09-22,day,single
3nsfB1vus2qaloUdcBZvDu,All Too Well (Taylor's Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,30020021,2021,,,Red (Taylor's Version),2021-11-12,Taylor Swift,2021-11-12,day,album
3o0nkjyy6eZL5lZcEpvJec,King Of My City,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,840060,2020,Hip Hop,melodic rap,Artist 2.0,2020-02-14,Highbridge the Label / Atlantic Records,2020-02-14,day,album
3o1CUVeHIid49sabk6A6Nf,Forever Yours - Avicii Tribute,"Kygo, Avicii, Sandro Cavazza","23fqKkggKUBHNkbKtXEls4, 1vCWHaC5f2uS3yhpwWbIA6, 5JYo7gm2dkyLLlWHjxS7Dy",26087708,2020,Electronic,"tropical house, edm, ",Forever Yours (Avicii Tribute),2020-01-24,Universal Music AB,2020-01-24,day,single
3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,7o2ZQYM7nTsaVdkXY38UAA,95711859,2022,,,Numb Little Bug,2022-01-28,"Republic Records/Moon Projects, LLC.",2022-01-28,day,single
3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,9623926,2019,Hip Hop,"melodic rap, emo rap",Goodbye & Good Riddance,2018-12-10,Juice WRLD Mixtape / ISR P&D,2018-12-10,day,album
3oGVx9RBmiYGv5ZCecWLkx,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,06HL4z0CvFAxyc27GXpf02,7099327,2021,,,Red (Taylor's Version),2021-11-12,Taylor Swift,2021-11-12,day,album
3oHiR89Y8gn6xt3YGAAzFj,NASTY (feat. Ashanti & Megan Thee Stallion),"DaBaby, Ashanti, Megan Thee Stallion","4r63FhuTkUYltbVAg5TQnk, 5rkVyNGXEgeUqKkB5ccK83, 181bsRPaVXVlUKXrxwZfHK",1085445,2020,R&B,"r&b, ",BLAME IT ON BABY,2020-04-17,South Coast Music Group/Interscope Records,2020-04-17,day,album
3oHkMCVJyOcjg5FhfLc2Rq,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","A$AP Rocky, Moby, T.I., Kid Cudi","13ubrt8QOOCPljQ2FL1Kca, 3OsRAKCvk37zwYcnzRf5XF, 4OBJLual30L7gRl5UkeRcT, 0fA0VVWsXO9YnASrzqfmYu",5494946,2018,"Electronic, Hip Hop, Pop","rap, downtempo, trip hop, southern hip hop, ",TESTING,2018-05-25,A$AP Worldwide/Polo Grounds Music/RCA Records,2018-05-25,day,album
3oLe5ZILASG8vU5dxIMfLY,The Search,NF,6fOMl44jA4Sp5b9PpYCkzz,786915,2019,Hip Hop,christian hip hop,The Search,2019-07-26,NF Real Music,2019-07-26,day,album
