spotify_track_id,song_name,artist_names,artist_ids,all_time_streams,years_on_chart,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR","5ZsFI1h6hIdQRw2ti0hz81, 2HPaUgqeutzr3jx5a9WyDV",106734890,2017,R&B,r&b,Still Got Time (feat. PARTYNEXTDOOR),2017-03-23,RCA Records Label,2017-03-23,day,single
003VDDA7J3Xb2ZFlNx7nIZ,YELL OH,"Trippie Redd, Young Thug","6Xgp2XMz1fhVYe7i6yNAax, 50co4Is1HCEo8bhOyUWKpn",1730738,2020,Hip Hop,"melodic rap, rap, trap",YELL OH,2020-02-07,"TenThousand Projects, LLC",2020-02-07,day,single
003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,9809956,2018,,,Growing Pains,2018-06-15,Def Jam Recordings,2018-06-15,day,single
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,0C0XlULifJtAgn6ZNCW2eu,781058438,"2020,2021,2022,2023,2024",Rock,alternative rock,Hot Fuss,2004-00-00,Island Records,2004,year,album
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),"Cardi B, Chance the Rapper","4kYSro6naA4h99UJvo89HB, 1anyVhU62p31KFi8MEzkbf",11882167,2018,,,Invasion of Privacy,2018-04-06,Atlantic/KSR,2018-04-06,day,album
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"Post Malone, The Weeknd","246dkjvS1zLTtiykXe5h60, 1Xyo4u8uXC1ZmMpatF05PJ",301860377,"2021,2022",,,One Right Now,2021-11-05,Republic Records,2021-11-05,day,single
00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,"Thalia, NATTI NATASHA","23wEWD21D4TPYiJugoXmYb, 1GDbiv3spRmZ1XdM1jQbT7",99336818,2018,"Latin, Pop","latin pop, reggaeton, latin, urbano latino",No Me Acuerdo,2018-06-01,Sony Music Latin,2018-06-01,day,single
00ETaeHUQ6lops3oWU1Wrt,Hot Stuff,"Kygo, Donna Summer","23fqKkggKUBHNkbKtXEls4, 2eogQKWWoohI3BSnoG7E2U",1841298,2020,"R&B, Electronic","tropical house, disco, hi-nrg",Hot Stuff,2020-09-18,RCA Records Label,2020-09-18,day,single
00Ga884hbpVvCNyeQdle1U,Violet Chemistry,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,5232060,2023,,,Endless Summer Vacation,2023-03-10,Columbia,2023-03-10,day,album
00I41xsW6SunZDJ5fB8KAd,Safety Zone,j-hope,0b1sIQumIAsNbqAoIClSpy,1471444,2022,"Pop, Hip Hop","k-pop, k-rap",Jack In The Box,2022-07-15,BIGHIT MUSIC,2022-07-15,day,album
00R0fEFZGb5hyTgF1nrRCq,Look Over Your Shoulder (feat. Kendrick Lamar),"Busta Rhymes, Kendrick Lamar","1YfEcTuGvBQ8xSD1f53UnK, 2YZyLoL8N0Wb9xBt1NhZWg",1031844,2020,Hip Hop,"east coast hip hop, hip hop, west coast hip hop",Extinction Level Event 2: The Wrath of God,2020-10-30,"The Conglomerate Entertainment, Inc. / EMPIRE",2020-10-30,day,album
00TVmX9spquyg0UKuN57l3,HOLD ME TIGHT OR DON’T,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,557997,2018,"Rock, Pop","emo, pop punk, emo pop",M A N I A,2018-01-19,Island Records,2018-01-19,day,album
00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis","4s3lxX76LwxzMdQEAFYdzv, 0NB5wv4kn6A919CLHUKRmk, 2qATSoNFfzMaTEZFfJpG4c, 4ACGdFl6mPI3lntaYef1gc, 3qjoOrsHcxhgKyBsh4ZOEn",62094603,"2023,2024","Hip Hop, R&B, R&b","funk, funk de bh, brazilian trap, brazilian funk, funk carioca",Baile do Bruxo,2023-09-29,Tropa Do Bruxo,2023-09-29,day,single
00gpGR84M27moP7AFuqHIx,Bounce Out With That FT. YBN Nahmir,"DJ A1, YBN Nahmir","7ao5uJZUsPeVpWlNkkjWyx, 3gGUMEwIX6XodWsYEvKSal",4816077,2018,,,Streets Don't Lie 2,2018-03-13,DJ A1,2018-03-13,day,album
00imgaPlYRrMGn9o83hfmk,LOOSE CHANGE,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,3524320,2022,R&B,r&b,WASTELAND,2022-07-08,"Lost Kids LLC., Marketed by Venice / Stem",2022-07-08,day,album
00ko9WaS4jOX1kEk3gvHjf,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby","1anyVhU62p31KFi8MEzkbf, 5SyGEPymt1G2uto47tVWvZ, 4r63FhuTkUYltbVAg5TQnk",26510697,2019,,,The Big Day,2019-07-26,Chance the Rapper,2019-07-26,day,album
00lNx0OcTJrS3MKHcB80HY,You Don't Know Me - Radio Edit,"Jax Jones, RAYE","4Q6nIcaBED8qUel8bBx6Cr, 5KKpBU5eC2tJDzf0wmlRp2",260282805,2017,,,You Don't Know Me,2016-12-09,Universal Music Group,2016-12-09,day,single
00mrTzjxIRuWJY01sRBJmO,Dark Side Of The Moon (feat. Nicki Minaj),"Lil Wayne, Nicki Minaj","55Aa2cqylxrFIXC767Z865, 0hCNtLu0JehylgoiP8L4Gh",877954,2018,Hip Hop,"rap, hip hop, ",Tha Carter V,2018-09-27,"Young Money Records, Inc.",2018-09-27,day,album
00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,"JC NO BEAT, DJ F7, MC Meno Dani, Silva Mc","1xglv0oUbyJaycWFhyec8U, 1L5QOwu01wcDbozwIL1XXd, 3LqcLDGw41dRZKsM51H9GI, 7v4hw85pzG0M9kJHlBGsi3",25477272,"2023,2024","Hip Hop, R&B","funk, brazilian funk",Maria Mariah,2023-11-17,Tratto Entretenimentos,2023-11-17,day,single
00syWkRGIVQvYsg2OwfBUw,East Side of Sorrow,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,20301852,2023,Country,"country, red dirt",Zach Bryan,2023-08-25,Warner Records,2023-08-25,day,album
00v5O7qsglyTtp2q1M9DZr,Pray You Catch Me,Beyoncé,6vWDO969PvNqNYHIOW5v0m,1155602,2019,,,Lemonade,2016-04-23,Parkwood Entertainment/Columbia,2016-04-23,day,album
00zzSEe82JTtz68XlARnh7,Amor Falso,Aldair Playboy,6LjdKBMnP1Da8Oe6WhrN56,6981926,2018,"Country, Pop, R&B, Latin","brega funk, brega, forró, sertanejo, arrocha, pagode baiano, piseiro, funk, tecnobrega",Amor Falso,2018-03-23,Valmir Mendonça Promoções,2018-03-23,day,single
011ZwIM48eD8ee2UBpG8nK,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)","Childish Gambino, 21 Savage, Ink, Kadhja Bonet","73sIBHcqh3Z3NyqHKZ7FOL, 1URnnhqYAYcrqrcwql10ft, 4ZhFCxPekpmV12n2xMeF2z, 6sqZoZxe9BQwk7Zxh6STfF",1456832,2020,,,3.15.20,2020-03-22,Wolf+Rothstein/RCA Records,2020-03-22,day,album
0163eXbLwh5dFhKa73n9wG,300 Noches,"Belinda, Natanael Cano","5LeiVcEnsZcwc133TUhJNW, 0elWFr7TW8piilVRYJUe4P",22606321,2024,"Latin, Pop","latin pop, corridos tumbados, corrido, corridos bélicos, sad sierreño, electro corridos, sierreño, música mexicana, banda",300 Noches,2024-04-25,WM Mexico,2024-04-25,day,single
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,675204956,"2020,2021",Pop,pop,Future Nostalgia,2020-03-27,Warner Records,2020-03-27,day,album
01BCvCKQNDmFQQQSjrzPnm,GHIGLIOTTINA - feat. Noyz Narcos,"Salmo, Noyz Narcos","3hBQ4zniNdQf1cqqo6hzuW, 49UAapOfpOg1ZOU4xf2NgY",810736,2021,Hip Hop,italian trap,FLOP,2021-10-01,Columbia,2021-10-01,day,album
01DOm09B2AbiTARAbXVI6g,CHopstix (with Travis Scott),"ScHoolboy Q, Travis Scott","5IcR3N7QB1j6KBL8eImZ8m, 0Y5tJX1MQlPlqiwlOH1tJY",10407677,2019,Hip Hop,rap,CHopstix (with Travis Scott),2019-04-08,Top Dawg Entertainment/Interscope Records,2019-04-08,day,single
01GmGxOPy22EdAZGC0X6q1,We Go High,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,812040,2019,,,The Big Day,2019-07-26,Chance the Rapper,2019-07-26,day,album
01I9AEz658sQnQzCL3K3QG,HOES UP G'S DOWN,Shirin David,0JBdTCGs111JKKYfLqOEBa,829131,2020,"Hip Hop, Pop","german hip hop, german pop",HOES UP G'S DOWN,2020-05-28,Juicy Money Records,2020-05-28,day,single
01JMnRUs2YOK6DDpdQASGY,Grace (feat. 42 Dugg),"Lil Baby, 42 Dugg","5f7VJjfbwm532GiveGC0ZK, 45gHcnDnMC15sgx3VL7ROG",954067,2020,,,My Turn,2020-02-28,Quality Control/Motown Records,2020-02-28,day,album
01K4zKU104LyJ8gMb7227B,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),"Taylor Swift, Phoebe Bridgers","06HL4z0CvFAxyc27GXpf02, 1r1uxoy19fzMxunt3ONAkG",24279791,2021,,,Red (Taylor's Version),2021-11-12,Taylor Swift,2021-11-12,day,album
01Qb6dN5suQNu87VJ1mIpf,Did It Again,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,11335143,2019,Hip Hop,"melodic rap, rap",Did It Again,2019-07-24,Republic Records,2019-07-24,day,single
01QdEx6kFr78ZejhQtWR5m,Forever & Always (Piano Version) (Taylor’s Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,2226139,2021,,,Fearless (Taylor's Version),2021-04-09,Taylor Swift,2021-04-09,day,album
01QhKtUc12FGw2wX7dMYvv,LOCO - English Ver.,ITZY,2KC9Qb60EaY0kW4eH68vr3,971069,2021,Pop,k-pop,CRAZY IN LOVE,2021-09-24,JYP Entertainment,2021-09-24,day,album
01TnMXIy7mJJQ7E8uy937N,Von dutch,Charli xcx,25uiPmTg16RbhZWAqwLBy5,1245504,2024,Pop,"hyperpop, art pop",Von dutch,2024-02-29,Atlantic Records,2024-02-29,day,single
01TnVDiet1DFTsyWKUKovl,NUMB,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,53948923,2018,Hip Hop,emo rap,?,2018-03-16,"Bad Vibes Forever, LLC",2018-03-16,day,album
01VzuxoBYMAJLObfU0w6dI,ADDICTIONS (FEAT. Tre' Amani),"Brent Faiyaz, Tre' Amani","3tlXnStJ1fFhdScmQeLpuG, 48Py72qV4J4hzvJXXRDNz0",886090,2022,R&B,"r&b, ",WASTELAND,2022-07-08,"Lost Kids LLC., Marketed by Venice / Stem",2022-07-08,day,album
01dmH2IPkrLNWIMPNXlreE,Paradise,BTS,3Nrfpe0tUJi4K4DXYWgMUX,4806223,2018,Pop,k-pop,Love Yourself 轉 'Tear',2018-05-18,BIGHIT MUSIC / HYBE,2018-05-18,day,album
01hEpx8jnOG4q7nDK14Rhi,malibu,sangiovanni,7dL0nOHwnSAsNAwpkPSGWP,50456274,2021,,,sangiovanni,2021-05-13,Universal Music Italia srL. (Sugar),2021-05-13,day,single
01iuzK2ziYAVE2n9aSXbWp,Hollywood's Bleeding,Post Malone,246dkjvS1zLTtiykXe5h60,5585004,2019,,,Hollywood's Bleeding,2019-09-06,Republic Records,2019-09-06,day,album
01k24g94i1JvkFLQmVEdCd,If You're Over Me,Olly Alexander (Years & Years),5vBSrE1xujD2FXYRarbAXc,20005636,2018,,,If You're Over Me,2018-05-10,Polydor Records,2018-05-10,day,single
01kOu8BA8yzAHx9LUidTi9,All For Me,"Trippie Redd, Smokepurpp","6Xgp2XMz1fhVYe7i6yNAax, 21dooacK2WGBB5amYvKyfM",691227,2019,Hip Hop,"melodic rap, ",A Love Letter To You 4,2019-11-22,"TenThousand Projects, LLC",2019-11-22,day,album
01kfSdF9zfcDLri5sSWEoL,RAVE,Dxrk ダーク,5TvFfw1MgSntdU9A7yncyA,3374098,2022,"Electronic, Hip Hop","phonk, drift phonk",RAVE,2022-03-18,Dxrk,2022-03-18,day,single
01ppKlDRCmPpusO3yNrSRY,TELEFONO NUEVO,"Bad Bunny, Luar La L","4q3ewBCX7sLwd24euuV69X, 4axKuDPr6WKcDCyh8vueTY",62498370,2023,Latin,"reggaeton, trap latino, latin, urbano latino",nadie sabe lo que va a pasar mañana,2023-10-13,Rimas Entertainment LLC,2023-10-13,day,album
01prGWjCTxKBxJc400zwvQ,Rockstar - Extended,LISA,5L1lO4eRHmJ7a0Q6csE5cT,2529902,2024,Pop,k-pop,Rockstar,2024-06-27,Lloud Co./RCA Records,2024-06-27,day,single
01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow","6HaGTQPmzraVmaVxvz6EUc, 2LIk90788K0zvyj2JJVwkJ",732886323,"2023,2024",Pop,"k-pop, ",3D : The Remixes,2023-10-02,BIGHIT MUSIC,2023-10-02,day,album
01uk7IzZyFNfQTDBXxx6NB,One Last Song,Sam Smith,2wY79sveU1sp5g7SokKOiI,11843789,2017,Pop,soft pop,The Thrill Of It All (Special Edition),2017-11-03,PLG - Capitol,2017-11-03,day,album
01vR5Z7AHinp9D2wu2BNQS,UP IN SMOKE,RIN,18ISxWwWjV6rPLoVCXf1dz,2896227,2019,Hip Hop,"german hip hop, cloud rap",UP IN SMOKE,2019-08-30,GOLD LEAGUE/DIVISION,2019-08-30,day,single
01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,11363367,2018,,,Trench,2018-10-05,Fueled By Ramen,2018-10-05,day,album
01z2fBGB8Hl3Jd3zXe4IXR,Come Back to Earth,Mac Miller,4LLpKhyESsyAXpc4laK94U,5173152,2018,,,Swimming,2018-08-03,Warner Records,2018-08-03,day,album
0203aGEIzVVlmvQ8lX4fmV,Side Piece,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,2343929,2022,,,Come Home The Kids Miss You,2022-05-06,Generation Now/Atlantic,2022-05-06,day,album
020wG4EHTwBy5h2rbpxqvK,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),"Marracash, thasup, Sfera Ebbasta","5AZuEF0feCXMkUCwQiQlW7, 19i93sA0D7yS9dYoVNBqAA, 23TFHmajVfBtlRx5MXqgoz",10580175,2019,Hip Hop,"italian trap, trap",Persona,2019-10-31,Universal Music Italia srL.,2019-10-31,day,album
021lWIHJrURZrmvYQ1xcM8,All Bad (feat. Lil Uzi Vert),"Future, Lil Uzi Vert","1RyvyyTE3xzB2ZywiAwp0i, 4O15NlyKLIASxsJ0PrXPfz",4424197,2020,Hip Hop,"rap, melodic rap",High Off Life,2020-05-15,Epic/Freebandz,2020-05-15,day,album
0247StOpd3AkeBQzANX4Zf,Do They Know It's Christmas? - 1984 Version,Band Aid,35S20clEkkSNUo23ViaslZ,243113452,"2018,2019,2020,2021",Jazz,christmas,Do They Know It's Christmas?,2004-01-01,EMI,2004-01-01,day,single
027ielmg4mNR1p1Ds3Mvgh,Não Vou Namorar,"DJ Ws da Igrejinha, DJ JOÃO PEREIRA, Mc Dudu Sk, MC TH DA SERRA, DALÃMA","0NB5wv4kn6A919CLHUKRmk, 1tPQcKxMrvf09Ry8zk68gt, 1CKLOLezvcRuPRzOiGvxS1, 4OKS4k4lBy2KOeftVHJDXu, 0dglu68sb1lWf1ACF9uOb6",1330186,2024,"Hip Hop, R&B, R&b","funk de bh, funk, brazilian funk",Não Vou Namorar,2024-01-19,Dalama Records,2024-01-19,day,single
02Cp3VTUWNed8hr69BhKz6,dark days,"21 Savage, Mariah the Scientist","1URnnhqYAYcrqrcwql10ft, 7HO5fOXE4gh3lzZn64tX2E",2925807,2024,R&B,alternative r&b,american dream,2024-01-12,"Slaughter Gang, LLC/Epic Records",2024-01-12,day,album
02CrqOYzrJR8fYOffhvRZZ,number one girl,ROSÉ,3eVa5w3URK5duf6eyVDbu9,31799929,2024,Pop,k-pop,number one girl,2024-11-22,Atlantic Records,2024-11-22,day,single
02FaKXXL7KUtRc7K0k54tL,Cozy Little Christmas,Katy Perry,6jJ0s89eD6GaHleKKya26X,26385207,"2019,2020,2022,2023,2024",Pop,pop,Cozy Little Christmas,2018-11-15,Capitol Records,2018-11-15,day,single
02H58MSfVESkKyx4diDgu7,LOST!,RM,2auC28zjQyVTsiZKNgPRGs,13610233,2024,"Pop, Hip Hop","k-pop, k-rap","Right Place, Wrong Person",2024-05-24,BIGHIT MUSIC,2024-05-24,day,album
02LZ1fGJE8fB56yTlCVMEV,Switch,"Iggy Azalea, Anitta","5yG7ZAZafVaAlMTeBybKAL, 7FNnA9vBm6EKceENgCGRMb",2891805,2017,"Pop, R&B, Hip Hop, Latin","brazilian pop, funk pop, funk carioca, funk, pagode baiano",Switch,2017-05-19,Universal Music Group,2017-05-19,day,single
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,2448938666,"2020,2021,2022,2023",,,Dreamland (+ Bonus Levels),2020-08-06,Polydor Records,2020-08-06,day,album
02Mqx9HzVRyfdCUpPNR6N3,Fire Alarm (feat. Snow Strippers),"Lil Uzi Vert, Snow Strippers","4O15NlyKLIASxsJ0PrXPfz, 6TsAG8Ve1icEC8ydeHm3C8",2755800,2023,"Rock, Hip Hop, Electronic","melodic rap, electroclash, witch house",Pink Tape,2023-06-30,Generation Now/Atlantic,2023-06-30,day,album
02RCbjb9czvQKNGBmEmWob,Woah,Lil Baby,5f7VJjfbwm532GiveGC0ZK,30049205,2020,,,My Turn,2020-02-28,Quality Control/Motown Records,2020-02-28,day,album
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic","0du5cEVh5yTK9QJze8zA0C, 3jK9MiCrA42lLAdMGUZpwa, 6PvvGcCY2XtUcSRld1Wilr",56038569,2022,,,An Evening With Silk Sonic,2021-11-11,Aftermath Entertainment/Atlantic,2021-11-11,day,album
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,25318526,2017,Pop,soft pop,Dancing On My Own,2016-06-03,Universal Music Group,2016-06-03,day,single
02YMpD1xbZZzpZbuZNvmD7,Sideways,"Gordo, Drake","4Ge9GwmWnOQsohwPTrXyHc, 3TVXtAsR1Inumwj472S9r4",7671477,2024,"Electronic, Hip Hop","afro house, latin house, rap, hip hop",DIAMANTE,2024-07-26,"Ultra Records, LLC",2024-07-26,day,album
02cRoSfWU3RJNFyU3o4lhV,SANTAL 33,"Peso Pluma, Oscar Maydon","12GqGscKJx3aE4t07u7eVZ, 3l9G1G9MxH6DaRhwLklaf5",2511415,2024,Latin,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda",ÉXODO,2024-06-20,2024 Double P Records,2024-06-20,day,album
02dRkCEc8Q5ch4TTcnLxOn,Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus","3hv9jJF3adDNsBSIQDqcjp, 5YGY8feqx7naU7z4HrwZM6",4139946,2023,,,Late Night Feelings,2019-06-21,Columbia,2019-06-21,day,album
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),"R3HAB, A Touch Of Class","6cEuCEZu7PAE9ZSzLLc2oQ, 5wTdspmxzb8V4ZjvDodpBo",105576121,2019,"Electronic, Pop","slap house, edm, europop, eurodance",All Around The World (La La La),2019-04-05,Virgin,2019-04-05,day,single
02jLfqc9gMo8PkHEGHY3OT,Si Te La Encuentras Por Ahí,Feid,2LRoIwlKmHjgvigdNGBHNo,41725702,2022,Latin,"reggaeton, urbano latino",Si Te La Encuentras Por Ahí,2022-08-05,UMLE - Latino,2022-08-05,day,single
02kDW379Yfd5PzW5A6vuGt,Lemonade,"Internet Money, Gunna, Don Toliver, NAV","6MPCFvOQv5cIGfw3jODMF0, 2hlmm7s2ICUX0LVIhVFlZQ, 4Gso3d4CscCijv0lmajZWs, 7rkW85dBwwrJtlHRDkJDAC",19804278,2020,Hip Hop,melodic rap,"Lemonade (feat. Gunna, Don Toliver & NAV)",2020-08-14,Internet Money Records/ TenThousand Projects,2020-08-14,day,single
02mYw61RoS1vXvkD9Q5dpN,BLINDFOLD (feat. Lil Baby),"Gunna, Lil Baby","2hlmm7s2ICUX0LVIhVFlZQ, 5f7VJjfbwm532GiveGC0ZK",1657392,2020,Hip Hop,"melodic rap, ",WUNNA,2020-05-22,300 Entertainment,2020-05-22,day,album
02q0ZnV2L4XByzEvWZJqBC,Spring Day,BTS,3Nrfpe0tUJi4K4DXYWgMUX,980111,2017,Pop,k-pop,YOU NEVER WALK ALONE,2017-02-13,BigHit Entertainment,2017-02-13,day,album
02vvwHxBoZtnNDQFFE64NQ,Gucci Grocery Bag,Young Thug,50co4Is1HCEo8bhOyUWKpn,2476186,2023,Hip Hop,"rap, melodic rap, trap",BUSINESS IS BUSINESS,2023-06-23,300 Entertainment/Atl,2023-06-23,day,album
02wk5BttM0QL38ERjLPQJB,Cool With You,NewJeans,6HvZYsbFfjnjFrWF950C9d,73125120,2023,Pop,k-pop,NewJeans 2nd EP 'Get Up',2023-07-21,ADOR,2023-07-21,day,single
030OCtLMrljNhp8OWHBWW3,Hey Daddy (Daddy's Home),USHER,23zg3TcAtWQy7J6upgbUnj,4150948,2024,R&B,r&b,Raymond v Raymond (Expanded Edition),2010-03-30,LaFace Records,2010-03-30,day,album
030mot3ZKR3oskfMsqDB2R,Have Yourself A Merry Little Christmas,Judy Garland,0hItVPjwJLVZrFqOyIsxPf,11363891,"2019,2020,2021",Jazz,christmas,Meet Me In St. Louis,1944-01-01,Geffen,1944-01-01,day,single
0314PeD1sQNonfVWix3B2K,ENERGY (feat. Beam),"Beyoncé, BEAM","6vWDO969PvNqNYHIOW5v0m, 46MWeeHNVMYRIIofQBEX98",11507979,2022,,,RENAISSANCE,2022-07-29,Parkwood Entertainment/Columbia,2022-07-29,day,album
033if6Adj8fwBYsQzHOfQ8,100k Cash,"Capital Bra, Samra","4WZGDpNwrC0vNQyl9QzF7d, 6h1s4i4XKIYv4ErDelLDN0",1847594,2020,Hip Hop,german hip hop,100k Cash,2020-02-27,Bra Musik,2020-02-27,day,single
03B2SfXuvDh1m9F4tqrX07,Skin,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,37080517,2021,,,Skin,2021-01-22,Island Records,2021-01-22,day,single
03CbQgFxnBFoaaVJTfEqMD,medicine,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,861296,2019,"Rock, Metal","metalcore, emo, screamo, rock, post-hardcore, metal",medicine,2019-01-03,RCA Records Label,2019-01-03,day,single
03ERnTvSV5fy8WAyvA4uNP,Big Gangsta,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,704060,2021,,,Big Gangsta,2021-03-26,Bread Winners' Association,2021-03-26,day,single
03IpZ9yqJlo3EIgDQUgBSF,Nueva Era,"Duki, Myke Towers","1bAftSH8umNcGZ0uyV7LMg, 7iK8PXO48WeuP03g8YR51W",22705801,2024,"Hip Hop, Latin","argentine trap, trap, trap latino, reggaeton, urbano latino",AMERI,2024-10-31,DALE PLAY Records / SSJ Records,2024-10-31,day,album
03It1uO69CjGWP3yyVe465,Chun Swae (feat. Swae Lee),"Nicki Minaj, Swae Lee","0hCNtLu0JehylgoiP8L4Gh, 1zNqQNIdeOUZHb8zbZRFMX",1903901,2018,,,Queen,2018-08-10,Young Money/Cash Money Records,2018-08-10,day,album
03LfOYi0icz4souspZVVhq,"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam","716NhGYqD1jl2wI1Qkgq36, 1SupJlEpv7RS2tPNRaHViT",80323165,2021,"Hip Hop, Latin","argentine trap, trap latino, urbano latino, reggaeton, latin","Nicky Jam: Bzrp Music Sessions, Vol. 41",2021-06-30,DALE PLAY Records,2021-06-30,day,single
03NqHNdG3Ur6kciQWK6e8V,Oh Na Na,"Camila Cabello, Myke Towers, Tainy","4nDoRrQiYLoBzwC5BhVJzF, 7iK8PXO48WeuP03g8YR51W, 0GM7qgcRCORpGnfcN2tCiB",2651288,2021,"Pop, Latin","pop, reggaeton, trap latino, urbano latino",Oh Na Na,2021-10-29,Epic,2021-10-29,day,single
03T4ttRCiLXST6MZjeMwmR,Orphans,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,11714278,2019,,,Everyday Life,2019-11-22,Parlophone UK,2019-11-22,day,album
03XfngWwNfhEjrnEga73Rg,Swivel (with EARTHGANG) - From The Album  Mirrorland ,"Dreamville, EARTHGANG","1iNqsUDUraNWrj00bqssQG, 5MbNzCW3qokGyoo9giHA3V",719092,2019,,,Revenge Of The Dreamers III,2019-07-05,Dreamville/Interscope Records,2019-07-05,day,album
03cOUvF1fyW60AuUfUNiDc,Mannschaft (feat. Freeze Corleone),"SCH, Freeze corleone","2kXKa3aAFngGz2P4GjG5w2, 76Pl0epAMXVXJspaSuz8im",1144876,2021,Hip Hop,"pop urbaine, drill",JVLIVS II,2021-03-19,Rec. 118,2021-03-19,day,album
03eJ2DclFWXYU8GWgANdmZ,bad vibes forever (feat. PnB Rock & Trippie Redd),"XXXTENTACION, PnB Rock, Trippie Redd","15UsOTVnJzReFVN1VCnxy4, 21WS9wngs9AqFckK7yYJPM, 6Xgp2XMz1fhVYe7i6yNAax",6651462,2019,Hip Hop,"emo rap, melodic rap",Bad Vibes Forever,2019-12-06,Bad Vibes Forever / EMPIRE,2019-12-06,day,album
03fs6oV5JAlbytRYf3371S,Everything I Love,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,19841480,2023,Country,country,One Thing At A Time,2023-03-03,Big Loud Records / Mercury Records / Republic Records,2023-03-03,day,album
03hqMhmCZiNKMSPmVabPLP,Groupie Love (feat. A$AP Rocky),"Lana Del Rey, A$AP Rocky","00FQb4jTyendYWaN8pK0wa, 13ubrt8QOOCPljQ2FL1Kca",1369926,2017,Hip Hop,rap,Lust For Life,2017-07-21,Polydor Records,2017-07-21,day,album
03hyZKbj9GWZXD8jALwJA3,Metro Spider (with Young Thug),"Metro Boomin, Young Thug","0iEtIxbK0KxaSlF7G42ZOp, 50co4Is1HCEo8bhOyUWKpn",9221795,2022,Hip Hop,"rap, melodic rap, trap",HEROES & VILLAINS,2022-12-02,Republic Records,2022-12-02,day,album
03iCbZaM4OkRR4We6wIzvx,IDOL,"BTS, Nicki Minaj","3Nrfpe0tUJi4K4DXYWgMUX, 0hCNtLu0JehylgoiP8L4Gh",20342559,2018,Pop,"k-pop, ",Love Yourself 結 'Answer',2018-08-24,BIGHIT MUSIC / HYBE,2018-08-24,day,compilation
03mMSLEJCPoGJwQhHpN5y0,Treat People With Kindness,Harry Styles,6KImCVD70vtIoJWnq6nGn3,7039539,2019,,,Fine Line,2019-12-13,Columbia,2019-12-13,day,album
03nPEoQOYMuDe7KmGljpmd,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)","DJ Khaled, Justin Bieber, Chance the Rapper, Quavo","0QHgL1lAIqAw0HtD7YldmP, 1uNFoZAHBGtllmzznpCI3s, 1anyVhU62p31KFi8MEzkbf, 0VRj0yCOv2FXJNP47XQnx5",1400164,2019,,,Father Of Asahd,2019-05-17,Epic/We The Best,2019-05-17,day,album
03rwnftfgpYVO6QDWOZcG6,Drew A Picasso,Drake,3TVXtAsR1Inumwj472S9r4,23169266,2023,Hip Hop,"rap, hip hop",For All The Dogs,2023-10-06,OVO/Republic,2023-10-06,day,album
