artist_1,artist_1_id,artist_2,artist_2_id,count,song_ids
Latto,3MdXrJWsbVzdn6fe5JYkSQ,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,1,['2HRgqmZQC0MC7GeNuDIXHN']
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,JENNIE,250b0Wlc5Vk0CoUsaCY84M,1,['7CyPwkp0oE8Ro9Dd5CUDjW']
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ,1,['7CyPwkp0oE8Ro9Dd5CUDjW']
Lily-Rose Depp,1pBLC0qVRTB5zVMuteQ9jJ,JENNIE,250b0Wlc5Vk0CoUsaCY84M,1,['7CyPwkp0oE8Ro9Dd5CUDjW']
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,Anitta,7FNnA9vBm6EKceENgCGRMb,1,['5Fohh8kl8403DSoq4KH7Ll']
Feid,2LRoIwlKmHjgvigdNGBHNo,Bad Bunny,4q3ewBCX7sLwd24euuV69X,1,['7iQXYTyuG13aoeHxGG28Nh']
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,KAROL G,790FomKkXshlbRYZFtlgla,1,['5RqSsdzTNPX1uzkmlHCFvK']
Chino Pacas,2rmkQLzj0k4nZdQehOUByO,Calle 24,6dLuQ5qXxIuWc5urxfIiZR,2,"['1sXr6moCwVxwKEgSPxhVvF', '6uIIdjYTxxpWOyWuVXrKQO']"
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,Calle 24,6dLuQ5qXxIuWc5urxfIiZR,1,['6uIIdjYTxxpWOyWuVXrKQO']
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,Chino Pacas,2rmkQLzj0k4nZdQehOUByO,1,['6uIIdjYTxxpWOyWuVXrKQO']
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,Marshmello,64KEffDW9EtZ1y2vBYgq8T,1,['6CvTEtGagmzQvkUzzyKR9k']
Maluma,1r4hJ1h58CWwUQe3MxPuau,Carin Leon,66ihevNkSYNzRAl44dx6jJ,1,['4bw8mcDUSRWfQo63ZTYRnU']
Feid,2LRoIwlKmHjgvigdNGBHNo,ATL Jacob,7jAs1uPnpfNmT6e5qtEPxq,1,['7bywjHOc0wSjGGbj04XbVi']
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,3,"['1Es7AUAhQvapIcoh3qMKDL', '6WzRpISELf3YglGAh7TXcG', '7GUhiAHLoVy1V8ucQuZ3CB']"
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Madonna,6tbjWDEIzxoDsBA1FuhfPW,2,"['6WzRpISELf3YglGAh7TXcG', '7GUhiAHLoVy1V8ucQuZ3CB']"
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,Madonna,6tbjWDEIzxoDsBA1FuhfPW,2,"['6WzRpISELf3YglGAh7TXcG', '7GUhiAHLoVy1V8ucQuZ3CB']"
Grupo Firme,1dKdetem2xEmjgvyymzytS,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,1,['0O3U5iwTbiXCREMkvotJuN']
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,1,['7MXVkk9YMctZqd1Srtv4MB']
Ana Castela,2CKOmarVWvWqkNWUatHCex,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,1,['2IDf0IZ9dfw0uDYV2n1bJc']
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,Gabito Ballesteros,6Sbl0NT50roqWvy746MfVf,2,"['5UHK1rtK4MpBGb0KppIYh4', '7mXuWTczZNxG5EDcjFEuJR']"
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,Junior H,7Gi6gjaWy3DxyilpF1a8Is,5,"['1haJsMtoBhHfvuM7XWuT3W', '2500EpUpryOBJX0rO8fDuB', '2OWv3lRR8PtOVuHWzQNRs2', '5jVExEArvISIYu8mamVgfV', '7mXuWTczZNxG5EDcjFEuJR']"
Gabito Ballesteros,6Sbl0NT50roqWvy746MfVf,Junior H,7Gi6gjaWy3DxyilpF1a8Is,1,['7mXuWTczZNxG5EDcjFEuJR']
