artist_1,artist_1_id,artist_2,artist_2_id,count,song_ids
Young Thug,50co4Is1HCEo8bhOyUWKpn,JACKBOYS,7A8S43ryYdbWpJKeHRZRcq,1,['6gi6y1xwmVszDWkUqab1qw']
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Young Thug,50co4Is1HCEo8bhOyUWKpn,5,"['3s4mrPrEFFPF0LmAfutW0n', '4ea9w8c4ROqiZpJVhfBA3m', '4jVBIpuOiMj1crqd8LoCrJ', '6ZelF5APDN5r6XnFqcnvWR', '6gi6y1xwmVszDWkUqab1qw']"
Post Malone,246dkjvS1zLTtiykXe5h60,Young Thug,50co4Is1HCEo8bhOyUWKpn,1,['0t3ZvGKlmYmVsDzBJAXK8C']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,2,"['2qG5sZ7Si6sdK74qLxedYM', '35UUpTmrcFXNIVIN26ujXl']"
El Guincho,1oMiDFyAgmIzw9ZBQYHOJI,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1,['2qG5sZ7Si6sdK74qLxedYM']
El Guincho,1oMiDFyAgmIzw9ZBQYHOJI,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,1,['2qG5sZ7Si6sdK74qLxedYM']
SHAED,3KwmxIhSe9UTSEF37kwngR,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,1,['2ez6qvOTHKeI3ss80NGqnI']
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Bradley Cooper,4VIvfOurcf0vuLRxLkGnIG,1,['2VxeLyX666F8uXCJ0dZF8B']
21 Savage,1URnnhqYAYcrqrcwql10ft,Post Malone,246dkjvS1zLTtiykXe5h60,1,['0e7ipj03S05BNilyu5bRzt']
Maroon 5,04gDigrS5kc9YWfZHwBETP,Cardi B,4kYSro6naA4h99UJvo89HB,1,['7fa9MBXhVfQ8P8Df9OEbD8']
Khalid,6LuN9FCkKOj5PcnpouEgny,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,1,['0u2P5u6lvoDfwTYjAADbn4']
Snow,3uZFBSsMiooimnprFL9jD1,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,1,['5w9c2J52mkdntKOmRLeM2m']
