artist_1,artist_2,count,song_ids
Gunna,Young Thug,3,"['0kCBorRrKZkSztd9m0QI3r', '4T7cJdrTRqOBESPYfvfj2x', '3tkFCUaISwablf9MJydsuB']"
Keala Settle,The Greatest Showman Ensemble,3,"['2xGjteMU3E1tkEPVFBO08U', '43ay9lQZ5rfNcOOHhRF2cM', '5xNUR50KxswPRAvx7S163g']"
Quavo,Travis Scott,3,"['7foypmc7KZyU716Yv63BPe', '6urLjX35oXXRYtcH1b3dCh', '0JYAsQJWIuaYUvZGF1qapT']"
Offset,Travis Scott,3,"['5u6vkDnOyaf8LsteDAj2ub', '6urLjX35oXXRYtcH1b3dCh', '0FZ4Dmg8jJJAPJnvBIzD9z']"
Daddy Yankee,Luis Fonsi,3,"['1vnnXMrBeEWiRg3YCMCjQq', '4aWmUDTfIPGksMNLV2rQP2', '7CUYHcu0RnbOnMz4RuN07w']"
J Balvin,Ozuna,3,"['22eADXu8DfOAUEDw4vU8qy', '0MIcPSq9n2z5H8TAfEstri', '6JjPBQfI2Y8nIjnm65X6Pw']"
Bad Bunny,DJ Luian,3,"['5hcisvFMidkMJlElTO9Qmw', '3VClLWqNn80Llv0PJOsKgr', '7rwX0O3RlxqqIjQM8evm5E']"
Calvin Harris,Funk Wav,3,"['5bcTCxgc7xVfSaMV3RuVke', '7tr2za8SQg2CI8EDgrdtNl', '0P6AWOA4LG1XOctzaVu5tt']"
Bad Bunny,Mambo Kingz,3,"['5hcisvFMidkMJlElTO9Qmw', '3VClLWqNn80Llv0PJOsKgr', '7rwX0O3RlxqqIjQM8evm5E']"
BTS,Steve Aoki,3,"['7Ed6BkggCS2KaKY5YlINaF', '48XfojJC87VKLlUotYV0Gm', '2J0X46UkpfLlWbuCXFgDLr']"
Gucci Mane,Migos,3,"['1XRgIKC5TPwo7nWGyKqgG0', '6p8NuHm8uCGnn2Dtbtf7zE', '35ffVv9x4mtzBh5rF1K9sP']"
Ariana Grande,Nicki Minaj,3,"['3L4GsGLgxpHieVQH86H8bv', '0sdbFOyfgAhAhWq8DpzkaW', '44ONERBHALxftQNWq6dmyd']"
Major Lazer,Mr Eazi,2,"['3D1rlKmZdpYUeMtRRLNawc', '0zC401uLD0oQFxeM4QW1dk']"
Drake,Quavo,2,"['5S1IUPueD0xE0vj4zU3nSf', '1rlIrbWboTRGeKfHhgbJRZ']"
Kanye West,Nas,2,"['1vi9adPJiD4d22ybGp25hy', '3XaNHbNa9Chz9plhRpcaof']"
Lil Wayne,Nicki Minaj,2,"['2D1MK9oaxy7axXggy3iVbp', '5IvdLxVB8gwwcgnEkXSSW2']"
KIDS SEE GHOSTS,Louis Prima,2,"['5cQMfg4AEejKUfNA44ZGep', '6JyEh4kl9DLwmSAoNDRn5b']"
Kanye West,PARTYNEXTDOOR,2,"['6Bg7MznA9X0dIhlAsLyBYj', '3dG6tjetoR4GMmUGZUprLt']"
Brytiago,Ozuna,2,"['4WzsycqZkpkS48H9AAAGux', '59PYgzOiOjGDzjDT5N5oOX']"
Offset,Tyga,2,"['2toVe5hfuIi97ytDPDbQFt', '0jAfdqv18goRTUxm3ilRjb']"
Drake,Lil Baby,2,"['6vN77lE9LK6HP2DewaN6HZ', '6wWaVoUOzLQJHd3bWAUpdZ']"
Nas,The-Dream,2,"['0BSPhsCKfwENstErymcD80', '3XaNHbNa9Chz9plhRpcaof']"
Ski Mask The Slump God,XXXTENTACION,2,"['658I1uDnmLSiltFCf98AWE', '79R3qLqdbwUSYWX4cEOpbJ']"
Capital Bra,Samra,2,"['78CLZUWhsxIDwObCKOh1fh', '3eMwf7uAEn1VJcmd12gMmi']"
