artist_1,artist_1_id,artist_2,artist_2_id,count,song_ids
Bad Bunny,4q3ewBCX7sLwd24euuV69X,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,1,['4MzXwWMhyBbmu6hOcLVD49']
iann dior,6ASri4ePR7RlsvIQgWPJpS,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,2,"['4jPy3l0RUwlUI9T5XHBW2m', '6FuGJB290AQMAHTfjOYVaK']"
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Internet Money,6MPCFvOQv5cIGfw3jODMF0,2,"['2IePEfMAtqWS6rLXXFZIgI', '7hxHWCCAIIxFLCzvDgnQHX']"
Don Toliver,4Gso3d4CscCijv0lmajZWs,Internet Money,6MPCFvOQv5cIGfw3jODMF0,2,"['2IePEfMAtqWS6rLXXFZIgI', '7hxHWCCAIIxFLCzvDgnQHX']"
Internet Money,6MPCFvOQv5cIGfw3jODMF0,NAV,7rkW85dBwwrJtlHRDkJDAC,1,['7hxHWCCAIIxFLCzvDgnQHX']
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Don Toliver,4Gso3d4CscCijv0lmajZWs,2,"['2IePEfMAtqWS6rLXXFZIgI', '7hxHWCCAIIxFLCzvDgnQHX']"
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,NAV,7rkW85dBwwrJtlHRDkJDAC,1,['7hxHWCCAIIxFLCzvDgnQHX']
Don Toliver,4Gso3d4CscCijv0lmajZWs,NAV,7rkW85dBwwrJtlHRDkJDAC,1,['7hxHWCCAIIxFLCzvDgnQHX']
Bad Bunny,4q3ewBCX7sLwd24euuV69X,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1,['2XIc1pqjXV3Cr2BQUGNBck']
DaBaby,4r63FhuTkUYltbVAg5TQnk,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,1,['5nujrmhLynf4yMoMtj8AQF']
SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Imanbek,5rGrDvrLOV2VV8SCFVGWlj,1,['0zLCBJZSiELJf02ucPP9wb']
Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Cardi B,4kYSro6naA4h99UJvo89HB,1,['4Oun2ylbjFKMPTiaSbbCih']
DaBaby,4r63FhuTkUYltbVAg5TQnk,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,1,['7ytR5pFWmSjzHJIeQkgog4']
Joel Corry,6DgP9otnZw5z6daOntINxp,MNEK,7uMh23xWiuR7zsNkuNcm2G,1,['6cx06DFPPHchuUAcTxznu9']
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,1,['1HbA4N1MiOsPthALesGFR1']
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Anuel AA,2R21vXR83lH98kGeO99Y66,1,['4loQgPwJHocL3dFwLfjb1J']
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,1,['5VzNsUnLmYcRfRfxpQsusa']
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Myke Towers,7iK8PXO48WeuP03g8YR51W,1,['5VzNsUnLmYcRfRfxpQsusa']
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Myke Towers,7iK8PXO48WeuP03g8YR51W,1,['5VzNsUnLmYcRfRfxpQsusa']
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Guaynaa,0BqURncJM5B1BBu7UM51eq,1,['21N4Buj4xsyLb218lYle61']
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Sech,77ziqFxp5gaInVrF2lj4ht,2,"['1mG8VynhqySA52bALfYrvO', '35UUpTmrcFXNIVIN26ujXl']"
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Sech,77ziqFxp5gaInVrF2lj4ht,4,"['1mG8VynhqySA52bALfYrvO', '35UUpTmrcFXNIVIN26ujXl', '5zj8WNkBrEzlI5FKeYV4ol', '7iqOIHHEmu6Vhw25GgQ2eA']"
Sech,77ziqFxp5gaInVrF2lj4ht,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1,['35UUpTmrcFXNIVIN26ujXl']
Farruko,329e4yvIujISKGKz1BZZbO,Sech,77ziqFxp5gaInVrF2lj4ht,1,['35UUpTmrcFXNIVIN26ujXl']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,2,"['1mG8VynhqySA52bALfYrvO', '35UUpTmrcFXNIVIN26ujXl']"
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1,['35UUpTmrcFXNIVIN26ujXl']
Farruko,329e4yvIujISKGKz1BZZbO,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,1,['35UUpTmrcFXNIVIN26ujXl']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1,['35UUpTmrcFXNIVIN26ujXl']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Farruko,329e4yvIujISKGKz1BZZbO,1,['35UUpTmrcFXNIVIN26ujXl']
Farruko,329e4yvIujISKGKz1BZZbO,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1,['35UUpTmrcFXNIVIN26ujXl']
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Lil Baby,5f7VJjfbwm532GiveGC0ZK,1,['0PvFJmanyNQMseIFrU708S']
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,DaBaby,4r63FhuTkUYltbVAg5TQnk,1,['0PvFJmanyNQMseIFrU708S']
DaBaby,4r63FhuTkUYltbVAg5TQnk,Lil Baby,5f7VJjfbwm532GiveGC0ZK,2,"['0PvFJmanyNQMseIFrU708S', '20GrahbI4AzAOWxpYfDKkf']"
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,benny blanco,5CiGnKThu5ctn9pBxv7DGa,1,['3S8jK1mGzQi24ilFb45DAZ']
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,1,['1xQ6trAsedVPCdbtDAmk0c']
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,1,['2Oycxb8QbPkpHTo8ZrmG0B']
Camilo,28gNT5KBp7IjEOQoevXf9N,El Alfa,2oQX8QiMXOyuqbcZEFsZfm,1,['3Zf4GutWZ7Hv3wsVQsSQPs']
Juhn,2LmcxBak1alK1bf7d1beTr,Myke Towers,7iK8PXO48WeuP03g8YR51W,1,['1xK1Gg9SxG8fy2Ya373oqb']
Drake,3TVXtAsR1Inumwj472S9r4,Lil Durk,3hcs9uc56yIGFCSy9leWe7,2,"['2SAqBLGA283SUiwJ3xOUVI', '61S79KIVA4I9FXbnsylEHT']"
Xand Avião,43DRDu6nLSeIedZ7T1A616,Os Barões Da Pisadinha,5Lv2GUVwqmQBPwrTrxucE5,1,['3rRin3LyLY92kpEbkCgwf4']
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,1,['5y7DaS3jAc9eZzcSOoUIwU']
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Chencho Corleone,37230BxxYs9ksS7OkZw3IU,1,['5y7DaS3jAc9eZzcSOoUIwU']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Chencho Corleone,37230BxxYs9ksS7OkZw3IU,1,['5y7DaS3jAc9eZzcSOoUIwU']
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,KAROL G,790FomKkXshlbRYZFtlgla,1,['0dKg2vGC1hFqcK5LGTaKzX']
Guaynaa,0BqURncJM5B1BBu7UM51eq,Lele Pons,6i3DxIlAqnDkwELLw4aVrx,1,['11EnQRgRMJwMAesfkB5pnu']
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,DJ Nelson,2ydZrTy8U3kOMOzx20s3dg,1,['4HYDUMY0xSpeBr0AMY9cUz']
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,Myke Towers,7iK8PXO48WeuP03g8YR51W,1,['4HYDUMY0xSpeBr0AMY9cUz']
