artist_1,artist_2,count,song_ids
Kim Petras,Sam Smith,2,"['0NZPBYD5qbEWRs3PrGiRkT', '3nqQXoyQOWXiESFLlDF1hG']"
Bebe Rexha,David Guetta,1,['4uUG5RXrOk84mYEfFvj3cK']
Bizarrap,Quevedo,1,['2tTmW7RDtMQtBk7m2rYeSw']
Metro Boomin,The Weeknd,1,['2dHHgzDwk4BJdRwy9uXhTO']
21 Savage,Metro Boomin,2,"['4WuOWVnAqvEQxgSRrspBgt', '2dHHgzDwk4BJdRwy9uXhTO']"
21 Savage,The Weeknd,2,"['2dHHgzDwk4BJdRwy9uXhTO', '4hGmQboiou09EwhcTWa0H6']"
Bad Bunny,Chencho Corleone,1,['6Sq7ltF9Qa7SNFBsV5Cogx']
Arcángel,Bad Bunny,2,"['2mnXxnrX5vCGolNkaFvVeM', '1C7lXfx4Y5maVl4AgUVlHA']"
21 Savage,Drake,3,"['2nibvvDdAQkVraYP00z2RS', '1bDbXMyjaUIooNwFE9wn0N', '3F5CgOj3wFlRv51JsHbxhe']"
Feid,Ozuna,1,['1zsPaEkglFvxjAhrM8yhpr']
Rema,Selena Gomez,2,"['1s7oOCT8vauUh01PbJD6ps', '0WtM2NBVQNNJLh6scP13H8']"
Em Beihold,Stephen Sanchez,1,['1Y3LN4zO1Edc2EluIoSPJN']
Bad Bunny,Bomba Estéreo,1,['3k3NWokhRRkEPhCzPmV8TW']
070 Shake,RAYE,3,"['4rPJSqrov3zqGwXlemLBMw', '5mHdCZtVyb4DcJw8799hZp', '5WxVXxCMRnvxUKFq40ELwq']"
Bad Bunny,Ñengo Flow,2,"['54ELExv56KCAB4UP9cOCzC', '1C7lXfx4Y5maVl4AgUVlHA']"
Oliver Tree,Robin Schulz,1,['73vIOb4Q7YN6HeJTbscRx5']
Dua Lipa,Elton John,1,['6JIC3hbC28JZKZ8AlAqX8h']
Elton John,PNAU,1,['6JIC3hbC28JZKZ8AlAqX8h']
Dua Lipa,PNAU,1,['6JIC3hbC28JZKZ8AlAqX8h']
Justin Bieber,The Kid LAROI,2,"['5PjdY0CKGZdEuoNab3yDmX', '567e29TDzLwZwfDuEpGTwo']"
Ana Castela,Israel & Rodolffo,2,"['0SCMVUZ21uYYB8cc0ScfbV', '4o6v3Oooyt7HF20idztRD4']"
Lyanno,Rauw Alejandro,2,"['33cF8aTmGJ6TsEf23uqGIN', '1aUq8rjW1EwkAkMri4VfJy']"
Brray,Rauw Alejandro,2,"['33cF8aTmGJ6TsEf23uqGIN', '1aUq8rjW1EwkAkMri4VfJy']"
Brray,Lyanno,2,"['33cF8aTmGJ6TsEf23uqGIN', '1aUq8rjW1EwkAkMri4VfJy']"
MC MENOR HR,MC MENOR SG,1,['1597vvneWf0zoQrg2D8yH6']
DJ ESCOBAR,MC MENOR HR,1,['1597vvneWf0zoQrg2D8yH6']
DJ ESCOBAR,MC MENOR SG,1,['1597vvneWf0zoQrg2D8yH6']
Gustavo Mioto,Mari Fernandez,1,['4ASA1PZyWGbuc4d9N8OAcF']
Daft Punk,The Weeknd,1,['7MXVkk9YMctZqd1Srtv4MB']
Fuerza Regida,Grupo Frontera,1,['0IKeDy5bT9G0bA7ZixRT4A']
Carin Leon,Grupo Frontera,2,"['5HR7yfhSCeoOHRQN05XnZQ', '6Um358vY92UBv5DloTRX9L']"
Future,Metro Boomin,3,"['0B6g379TMw0nYGXA7y5xHz', '2Hh3ETdQKrmSI3QS0hme7g', '0vjeOZ3Ft5jvAi9SBFJm1j']"
Chris Brown,Metro Boomin,1,['0vjeOZ3Ft5jvAi9SBFJm1j']
Chris Brown,Future,1,['0vjeOZ3Ft5jvAi9SBFJm1j']
Ozuna,Shakira,1,['6G12ZafqofSq7YtrMqUm76']
Dj LK da Escócia,Tchakabum,1,['4UldILPVpnZO69ffK4B9aA']
Dj LK da Escócia,MC Ryan SP,1,['4UldILPVpnZO69ffK4B9aA']
Dj LK da Escócia,mc jhenny,1,['4UldILPVpnZO69ffK4B9aA']
Dj LK da Escócia,Mc RF,1,['4UldILPVpnZO69ffK4B9aA']
MC Ryan SP,Tchakabum,1,['4UldILPVpnZO69ffK4B9aA']
Tchakabum,mc jhenny,1,['4UldILPVpnZO69ffK4B9aA']
Mc RF,Tchakabum,1,['4UldILPVpnZO69ffK4B9aA']
MC Ryan SP,mc jhenny,1,['4UldILPVpnZO69ffK4B9aA']
MC Ryan SP,Mc RF,1,['4UldILPVpnZO69ffK4B9aA']
Mc RF,mc jhenny,1,['4UldILPVpnZO69ffK4B9aA']
Ana Castela,Zé Felipe,1,['2hkwwmmLC90T8BQ7t3xufq']
Luan Pereira,Zé Felipe,1,['2hkwwmmLC90T8BQ7t3xufq']
Ana Castela,Luan Pereira,1,['2hkwwmmLC90T8BQ7t3xufq']
Guilherme & Benuto,Hugo & Guilherme,1,['1ELsaYdj2NlxLvkx9g24xZ']
Calvin Harris,Dua Lipa,1,['7ef4DlsgrMEH11cDZd32M6']
Baby Rasta,Rauw Alejandro,2,"['4UGqAW9i7NtE5mW9xzm6yk', '58cEG7FsVoipRiRKUMgOjo']"
BTS,Jung Kook,2,"['5Odq8ohlgIbQKMZivbWkEo', '1RDvyOk4WtPCtoqciJwVn8']"
FIFA Sound,Jung Kook,1,['1RDvyOk4WtPCtoqciJwVn8']
BTS,FIFA Sound,1,['1RDvyOk4WtPCtoqciJwVn8']
Gesaffelstein,The Weeknd,1,['1cKHdTo9u0ZymJdPGSh6nq']
Nicky Youre,hey daisy,2,"['5YqEzk3C5c3UZ1D5fJUlXA', '4h4QlmocP3IuwYEj2j14p8']"
ROSALÍA,Wisin & Yandel,1,['6OzUIp8KjuwxJnCWkXp1uL']
Doja Cat,SZA,2,"['3DarAbFujv6eYNliUTyqtz', '0CrcwVLUe8wzLUIXgjXVZJ']"
Yuridia,Ángela Aguilar,1,['4H6o1bxKRGzmsE0vzo968m']
Bad Bunny,J Balvin,1,['0fea68AdmYNygeTGI4RC18']
Ariana Grande,The Weeknd,4,"['6ujbuB0L7JKxmpQzAoCMuK', '4W4fNrZYkobj539TOWsLO2', '7oDd86yk8itslrA9HRP2ki', '1oFAF1hdPOickyHgbuRjyX']"
Coolio,L.V.,1,['1DIXPcTDzTj8ZMHt3PDt8p']
Charlie Puth,Jung Kook,1,['5Odq8ohlgIbQKMZivbWkEo']
BTS,Charlie Puth,1,['5Odq8ohlgIbQKMZivbWkEo']
Guilherme & Benuto,Xand Avião,1,['3yHXEidSu4gYVRqKoI653O']
Cris Mj,Duki,1,['0NO2zL0kw8sGGnaMvHKAZF']
Cris Mj,Nicki Nicole,1,['0NO2zL0kw8sGGnaMvHKAZF']
Cris Mj,Standly,1,['0NO2zL0kw8sGGnaMvHKAZF']
Cris Mj,Stars Music Chile,1,['0NO2zL0kw8sGGnaMvHKAZF']
Duki,Nicki Nicole,1,['0NO2zL0kw8sGGnaMvHKAZF']
Duki,Standly,1,['0NO2zL0kw8sGGnaMvHKAZF']
Duki,Stars Music Chile,1,['0NO2zL0kw8sGGnaMvHKAZF']
Nicki Nicole,Standly,1,['0NO2zL0kw8sGGnaMvHKAZF']
Nicki Nicole,Stars Music Chile,1,['0NO2zL0kw8sGGnaMvHKAZF']
Standly,Stars Music Chile,1,['0NO2zL0kw8sGGnaMvHKAZF']
KAROL G,Ovy On The Drums,2,"['6WbAhuwE6fCOriBu5786X1', '16dUQ4quIHDe4ZZ0wF1EMN']"
Doja Cat,Post Malone,1,['0O6u0VJ46W86TxN9wgyqDj']
Macklemore,Ryan Lewis,1,['22skzmqfdWrjJylampe0kt']
Macklemore,Macklemore & Ryan Lewis,1,['22skzmqfdWrjJylampe0kt']
Macklemore,Ray Dalton,1,['22skzmqfdWrjJylampe0kt']
Macklemore & Ryan Lewis,Ryan Lewis,1,['22skzmqfdWrjJylampe0kt']
Ray Dalton,Ryan Lewis,1,['22skzmqfdWrjJylampe0kt']
Macklemore & Ryan Lewis,Ray Dalton,1,['22skzmqfdWrjJylampe0kt']
Bad Bunny,Rauw Alejandro,1,['4tYFy8ALRjIZvnvSLw5lxN']
Billie Eilish,Khalid,1,['0u2P5u6lvoDfwTYjAADbn4']
Tate McRae,Tiësto,2,"['6BePGk3eCan4FqaW2X8Qy3', '36gcliMRX1vCpgnrZE3dFZ']"
Imagine Dragons,JID,1,['3CIyK1V4JEJkg02E4EJnDl']
Arcane,Imagine Dragons,1,['3CIyK1V4JEJkg02E4EJnDl']
Imagine Dragons,League of Legends,1,['3CIyK1V4JEJkg02E4EJnDl']
Arcane,JID,1,['3CIyK1V4JEJkg02E4EJnDl']
JID,League of Legends,1,['3CIyK1V4JEJkg02E4EJnDl']
Arcane,League of Legends,1,['3CIyK1V4JEJkg02E4EJnDl']
Rauw Alejandro,Shakira,1,['2rurDawMfoKP4uHyb2kJBt']
Arijit Singh,Pritam,2,"['0rU8aU8TSbq6Xz6RWlmA1y', '4UMIv5jd9gK98a39BQRD9X']"
Amitabh Bhattacharya,Pritam,2,"['0rU8aU8TSbq6Xz6RWlmA1y', '4UMIv5jd9gK98a39BQRD9X']"
Amitabh Bhattacharya,Arijit Singh,2,"['0rU8aU8TSbq6Xz6RWlmA1y', '4UMIv5jd9gK98a39BQRD9X']"
Bad Bunny,JHAYCO,2,"['41oY4WCTj5kccfesTVFnvN', '4MzXwWMhyBbmu6hOcLVD49']"
Jack Harlow,Lil Nas X,1,['5Z9KJZvQzH6PFmb8SNkxuk']
Jorge & Mateus,Matheus & Kauan,1,['2M4kQD87lKnAS9vFlb4Bez']
La Adictiva,Luis R Conriquez,1,['5kpxVMDvYGRmNqawPqDTYR']
Dj TG Beats,MC K.K,1,['6Hio4nlyWL2WBL8nYlbuGt']
Dj Aurélio,MC K.K,1,['6Hio4nlyWL2WBL8nYlbuGt']
MC K.K,MC Lipivox,1,['6Hio4nlyWL2WBL8nYlbuGt']
Dj Aurélio,Dj TG Beats,1,['6Hio4nlyWL2WBL8nYlbuGt']
Dj TG Beats,MC Lipivox,1,['6Hio4nlyWL2WBL8nYlbuGt']
Dj Aurélio,MC Lipivox,1,['6Hio4nlyWL2WBL8nYlbuGt']
Dina Rae,Eminem,1,['4woTEX1wYOTGDqNXuavlRC']
Mabel Matiz,Mert Demir,1,['4OH5Cd8ZOI1eSgJSC9PYmU']
Chencho Corleone,Rauw Alejandro,1,['6mmPpaltUZK7xjNlBPQQ0p']
James Hype,Miggy Dela Rosa,1,['4zN21mbAuaD0WqtmaTZZeP']
Grupo Marca Registrada,Junior H,1,['4w273WCBXwM4P3jTX5HkB2']
Don Omar,Lucenzo,1,['2a1o6ZejUi8U3wzzOtCOYw']
KAROL G,Maldy,2,"['1ga4PztXOIw1yBbdUt2X8v', '6Vn1vje8yMw2OY6IOk9dkH']"
DaBaby,Dua Lipa,1,['5nujrmhLynf4yMoMtj8AQF']
Luis R Conriquez,Peso Pluma,4,"['4ygQ5wSuzzNRevVjup1qV2', '3gfSH9aYZbyGjdmbeoWliw', '626vswICsSvlVh4ILUhZJ1', '5PfFHceiEv61KldMOuVrv8']"
Carin Leon,Los Honorables,1,['1Tcm4Qi0lbzXofH11MIzJs']
Bad Bunny,Tony Dize,1,['1797zYiX4cKosMH836X9Gt']
Diego & Victor Hugo,Jorge & Mateus,1,['6gyhp7IcNhTYzwlk8utsgP']
