spotify_track_id,song,artist,genres,parent_genres,album,time,all_streams,years_on_chart,song_type
3AVXwaOGCEL8cmBecfcsFJ,Light Switch,Charlie Puth,"soft pop, pop",Pop,Light Switch (Instrumental),03:07,281026622,2022,Solo
3AVrVz5rK8Hrqo9YGiVGN5,Apocalypse,Cigarettes After Sex,dream pop,Pop,Cigarettes After Sex,04:50,762924119,2022,Solo
3AVrVz5rK8Hrqo9YGiVGN5,Apocalypse,Cigarettes After Sex,dream pop,Pop,Cigarettes After Sex,04:50,762924119,2023,Solo
3AbNNvo2OmyeDMvRBgf9vk,La Loto,"TINI,Becky G,Anitta","latin pop, reggaeton, latin, brazilian pop, funk pop, funk carioca, funk, pagode baiano",Pop,La Loto,03:10,11386952,2022,Collaboration
3AgiRs3oxc2dFh0CPUHXJs,Mistletoe and Wine,Cliff Richard,christmas,Jazz,Together With Cliff Richard,04:05,18144863,2017,Solo
3AgiRs3oxc2dFh0CPUHXJs,Mistletoe and Wine,Cliff Richard,christmas,Jazz,Together With Cliff Richard,04:05,18144863,2020,Solo
3AgiRs3oxc2dFh0CPUHXJs,Mistletoe and Wine,Cliff Richard,christmas,Jazz,Together With Cliff Richard,04:05,18144863,2021,Solo
3AgiRs3oxc2dFh0CPUHXJs,Mistletoe and Wine,Cliff Richard,christmas,Jazz,Together With Cliff Richard,04:05,18144863,2022,Solo
3AgiRs3oxc2dFh0CPUHXJs,Mistletoe and Wine,Cliff Richard,christmas,Jazz,Together With Cliff Richard,04:05,18144863,2023,Solo
3AzjcOeAmA57TIOr9zF1ZW,Physical,Dua Lipa,pop,Pop,Future Nostalgia,03:13,237085731,2020,Solo
3AzjcOeAmA57TIOr9zF1ZW,Physical,Dua Lipa,pop,Pop,Future Nostalgia,03:13,237085731,2021,Solo
3B0irDyS69y5eAz15xV2Ee,Wake Me Up,Avicii,edm,Electronic,True,04:07,18051826,2020,Solo
3B7FO3kJ5kv3mX7yiaB7sT,O Holy Night,Mariah Carey,christmas,Jazz,Merry Christmas,04:26,21176712,2018,Solo
3B7FO3kJ5kv3mX7yiaB7sT,O Holy Night,Mariah Carey,christmas,Jazz,Merry Christmas,04:26,21176712,2019,Solo
3B7FO3kJ5kv3mX7yiaB7sT,O Holy Night,Mariah Carey,christmas,Jazz,Merry Christmas,04:26,21176712,2020,Solo
