spotify_track_id,song,artist,genres,parent_genres,album,time,all_streams,years_on_chart,song_type
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,"rockabilly, rock and roll",Rock,Elvis' Christmas Album,02:09,329970910,2017,Solo
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,"rockabilly, rock and roll",Rock,Elvis' Christmas Album,02:09,329970910,2018,Solo
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,"rockabilly, rock and roll",Rock,Elvis' Christmas Album,02:09,329970910,2019,Solo
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,"rockabilly, rock and roll",Rock,Elvis' Christmas Album,02:09,329970910,2020,Solo
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,"rockabilly, rock and roll",Rock,Elvis' Christmas Album,02:09,329970910,2021,Solo
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,"rockabilly, rock and roll",Rock,Elvis' Christmas Album,02:09,329970910,2022,Solo
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,"rockabilly, rock and roll",Rock,Elvis' Christmas Album,02:09,329970910,2023,Solo
3QiAAp20rPC3dcAtKtMaqQ,Blue Christmas,Elvis Presley,"rockabilly, rock and roll",Rock,Elvis' Christmas Album,02:09,329970910,2024,Solo
3QpDKVHmf9RDQkJbAUNWzI,Digitando,Gustavo Moura & Rafael,"sertanejo, sertanejo universitário",Latin,Digitando,03:15,49494374,2024,Solo
3Qu3Zh4WTKhP9GEXo0aDnb,Thought You Should Know,Morgan Wallen,country,Country,One Thing At A Time,03:35,12383248,2023,Solo
3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin),"Zion & Lennox,J Balvin","reggaeton, latin",Latin,Motivan2,03:29,245513141,2017,Collaboration
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),"Mustard,Roddy Ricch",melodic rap,Hip Hop,Perfect Ten,03:00,318748156,2019,Collaboration
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),"Mustard,Roddy Ricch",melodic rap,Hip Hop,Perfect Ten,03:00,318748156,2020,Collaboration
3RA55zrRkyPK8Fd86hrMy8,LUNA,"Peso Pluma,Junior H","corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda, sierreño",Latin,GÉNESIS,02:43,80263680,2023,Collaboration
3RD0PGolM0mETGHaprwgMn,Culpables,Manuel Turizo,"reggaeton, latin, colombian pop",Pop,Culpables,03:53,25326214,2018,Solo
3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),"Drake,SZA","rap, hip hop, r&b",Hip Hop,Slime You Out,05:10,122056420,2023,Collaboration
3RkNXZvOSMMElmmXztDc94,F*****g Fans,Drake,"rap, hip hop",Hip Hop,Certified Lover Boy,04:05,12312466,2021,Solo
3RwWW7KeVhHGayYJgUL5eZ,eternal sunshine,Ariana Grande,pop,Pop,eternal sunshine,03:30,58365688,2024,Solo
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,"soft pop, acoustic pop",Pop,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),04:02,299575595,2017,Solo
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,"soft pop, acoustic pop",Pop,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),04:02,299575595,2018,Solo
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,"soft pop, acoustic pop",Pop,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),04:02,299575595,2019,Solo
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,"soft pop, acoustic pop",Pop,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),04:02,299575595,2020,Solo
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,"soft pop, acoustic pop",Pop,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),04:02,299575595,2024,Solo
3SYLoL8KHxdQPYIkfwmUjN,Remote Control,Kanye West,rap,Hip Hop,Donda,03:18,17652400,2021,Solo
3SZqA7rQvROJsCbUu2v0xa,Go Loko,"YG,Tyga,Jon Z","hyphy, trap latino, trap, dembow",Latin,Go Loko,04:59,14893726,2019,Collaboration
3T4UodGkfZObJ43RtA5KFU,Connection,OneRepublic,soft pop,Pop,Connection,02:28,44110827,2018,Solo
