artist_name,artist_id,genres,num_hits,num_collab_hits
Amitabh Bhattacharya,2fMqTqiTxUDlmcOEPaQSsx,"bangla pop, bollywood, desi, hindi pop, hip hop, pop, sufi, traditional music",2,2
Seafret,4Ly0KABsxlx4fNj63zJTrF,,1,0
Russ,1z7b1Pr1rSlvWRzsW3HOrS,"pop, soft pop",1,1
Central Cee,5H4yInM5zmHqpKIoMNAx4r,"drill, electronic, german hip hop, grime, hip hop, pop, uk drill",4,1
Mac Miller,4LLpKhyESsyAXpc4laK94U,,1,1
The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,,1,1
Grupo Marca Registrada,1gW6pz5n1aK249L0GvfQCC,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, norteño, sad sierreño, sierreño",1,1
Ezhel,6LnJKrtFnTEGdbWQ2riWCL,"hip hop, pop, turkish hip hop, turkish pop",1,0
AJR,6s22t5Y3prQHyaHWUN1R1C,,1,0
BEAM,46MWeeHNVMYRIIofQBEX98,,1,1
Grace Jones,2f9ZiYA2ic1r1voObUimdd,"afrobeat, afrobeats, alté, art pop, pop, r&b, traditional music",1,1
Normani,2cWZOOzeOm4WmBJRnD5R7I,"alternative r&b, edm, electronic, r&b",1,1
Tinashe,0NIIxcxNHmOoyBx03SfTCD,"alternative r&b, edm, electronic, r&b",1,1
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,"alternative r&b, edm, electronic, r&b",1,1
Lyanno,1Ts9of7VPZElwPQnqnDSfW,"latin, reggaeton, trap latino, urbano latino",1,1
Brray,1GKIlPFdcewHtpDVCQ8zmJ,"latin, reggaeton, trap latino, urbano latino",1,1
benny blanco,5CiGnKThu5ctn9pBxv7DGa,"g-funk, gangster rap, hip hop, k-pop, pop, rap, west coast hip hop",1,1
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"drill, east coast hip hop, emo rap, hip hop, melodic rap, neo soul, pop, r&b, rap, soft pop, southern hip hop",10,10
Rels B,2IMZYfNi21MGqxopj9fWx8,"latin, trap latino, urbano latino",1,0
Shenseea,1OFOShsIbhy1l5x73yuVyB,"afrobeats, dancehall, edm, electronic, hip hop, pop, r&b, soca, soft pop, traditional music",1,1
Mc Jacaré,6qrqAYlS6lUj2BVXax7SZW,"brazilian funk, electronic, funk, funk carioca, hip hop, r&b, trap funk",1,1
