artist_name,artist_id,genres,num_hits,num_collab_hits
SZA,7tYKF4w9nC0nq9CsPZTHyP,"hip hop, r&b, rap",14,7
Sam Smith,2wY79sveU1sp5g7SokKOiI,"afrobeat, afrobeats, dancehall, edm, electronic, pop, r&b, reggae, soft pop, traditional music",8,5
Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,"pop, soft pop",2,2
Harry Styles,6KImCVD70vtIoJWnq6nGn3,,3,0
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"dance, edm, electronic",5,5
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"dance, edm, electronic",1,1
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,"colombian pop, edm, electronic, latin, latin pop, pop, reggaeton",4,3
Bizarrap,716NhGYqD1jl2wI1Qkgq36,"argentine trap, banda, corrido, corridos bélicos, corridos tumbados, electro corridos, hip hop, latin, latin pop, música mexicana, pop, reggaeton, sad sierreño, trap, trap latino, urbano latino",12,12
Quevedo,52iwsT98xCoGgiGntTiR7K,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",15,9
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, melodic rap, pop, r&b, rap, traditional music, trap",13,13
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"east coast hip hop, electro, electronic, french house, hip hop, k-pop, latin, pop, rage rap, rap, reggaeton, trap latino, urbano latino",21,13
21 Savage,1URnnhqYAYcrqrcwql10ft,"drill, east coast hip hop, hip hop, melodic rap, rap, trap",12,12
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"banda, corrido, corridos bélicos, corridos tumbados, cumbia norteña, dembow, grupera, hip hop, latin, latin alternative, música mexicana, norteño, rap, reggaeton, tejano, trap, trap latino, urbano latino",42,23
Chencho Corleone,37230BxxYs9ksS7OkZw3IU,"latin, reggaeton, trap latino, urbano latino",3,2
Taylor Swift,06HL4z0CvFAxyc27GXpf02,"art pop, emo, emo pop, hip hop, indie rock, pop, pop punk, rock, west coast hip hop",78,8
Arcángel,4SsVbpTthjScTS7U2hmr1X,"argentine trap, art pop, electronic, experimental, hip hop, hyperpop, latin, neoperreo, pop, reggaeton, rock, trap latino, urbano latino",5,5
