artist_name,artist_id,genres,num_hits,num_collab_hits
Tones And I,2NjfBq1NflQcKSeiDooVjY,,4,0
Arizona Zervas,0vRvGUQVUjytro0xpb26bs,,2,0
KAROL G,790FomKkXshlbRYZFtlgla,"brooklyn drill, drill, hip hop, latin, new york drill, reggaeton, trap latino, urbano latino",9,7
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"afrobeat, afrobeats, afropop, afroswing, alté, azonto, dancehall, electronic, hip hop, hiplife, latin, moombahton, pop, r&b, rap, reggaeton, traditional music, urbano latino",10,9
Post Malone,246dkjvS1zLTtiykXe5h60,"glam metal, hard rock, heavy metal, hip hop, latin, melodic rap, metal, rap, rock, trap, trap latino",17,13
Maroon 5,04gDigrS5kc9YWfZHwBETP,pop,4,1
Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,pop,2,1
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"chanson, easy listening, edm, electronic, french pop, hip hop, k-pop, latin, pop, reggaeton, trap latino, urbano latino, variété française",20,8
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,"latin, latin pop, pop, reggaeton, trap latino, urbano latino",5,4
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"afrobeat, afrobeats, afropop, afroswing, azonto, dancehall, dembow, drill, electronic, hip hop, hiplife, italian trap, latin, latin pop, melodic rap, moombahton, pop, r&b, reggaeton, traditional music, trap, trap latino, urbano latino",32,24
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,18,4
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"hip hop, melodic rap, pop, rap, soft pop, trap",6,5
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"edm, electro, electronic, emo rap, french house, hip hop, latin, melodic rap, pop, reggaeton, urbano latino",26,7
Roddy Ricch,757aE44tKEUQEqRuT6GnEB,"brooklyn drill, drill, east coast hip hop, hip hop, melodic rap, new york drill, rap",14,13
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,,16,1
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,"pop, soft pop",4,0
Harry Styles,6KImCVD70vtIoJWnq6nGn3,,5,0
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"alternative r&b, argentine trap, chilean mambo, chilean trap, hip hop, latin, mambo, pop, r&b, rap, reggaeton, reggaeton chileno, trap, trap latino, urbano latino",56,30
DaBaby,4r63FhuTkUYltbVAg5TQnk,"brooklyn drill, drill, hip hop, melodic rap, memphis rap, new york drill, pop, r&b, rap, trap",33,22
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,"brooklyn drill, country, drill, hip hop, new york drill, pop country",4,3
blackbear,2cFrymmkijnjDg9SS92EPM,"pop, soft pop",8,5
Anuel AA,2R21vXR83lH98kGeO99Y66,"bachata, dembow, electronic, emo rap, hip hop, latin, latin hip hop, latin pop, melodic rap, neoperreo, pop, rap, rap rock, reggaeton, reggaeton chileno, rkt, rock, trap latino, urbano latino",28,23
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"dembow, latin, reggaeton, trap latino, urbano latino",13,12
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"colombian pop, dembow, electronic, hip hop, latin, latin hip hop, neoperreo, pop, reggaeton, reggaeton chileno, rkt, trap latino, urbano latino",18,16
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"k-pop, latin, pop, reggaeton, trap latino, urbano latino",18,5
Regard,4ofCBoyEiGSePFAG500xev,,2,1
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,"brooklyn drill, drill, electronic, glam metal, hard rock, heavy metal, hip hop, house, latin, melodic rap, metal, new york drill, piano house, pop, rap, rock, soft pop, trap",27,20
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"drill, edm, electronic, emo rap, hip hop, latin, melodic rap, moombahton, rap, reggaeton, trap latino, urbano latino",37,16
YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,"emo rap, hip hop, melodic rap, rap, trap",9,8
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"afrobeat, afrobeats, afropiano, afropop, afroswing, bassline, dance pop, dancehall, electronic, grime, hip hop, house, piano house, pop, r&b, rap, soft pop, traditional music, uk drill, uk garage",13,8
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"country, hip hop, latin, melodic rap, pop, r&b, rap, reggaeton, soft pop",30,18
