artist_name,artist_id,genres,num_hits,num_collab_hits
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"electro, electronic, french house, hip hop, melodic rap, rap, southern hip hop, trap, west coast hip hop",22,13
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"electro, electronic, french house, hip hop",2,2
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,"acoustic country, chanson, country, easy listening, french pop, pop, pop country, r&b, variété française",18,12
Halsey,26VFTg2z8YR0cCuwLzESi2,,9,4
DJ Snake,540vIaP2JwjQb9dm3aArA4,"electronic, moombahton",4,4
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"dance, edm, electronic, hip hop, latin, moombahton, rap, reggaeton",12,8
Clean Bandit,6MDME20pz9RveH9rEXvrOM,"dancehall, traditional music",3,3
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,"dancehall, hip hop, rap, traditional music",5,3
Sean Paul,3Isy6kedDrgPYoTS1dazA9,"dancehall, pop, traditional music",2,2
Drake,3TVXtAsR1Inumwj472S9r4,"afro house, afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, electronic, grime, hip hop, house, melodic rap, pop, r&b, rap, southern hip hop, traditional music, trap",38,21
Wizkid,3tVQdUvClmAT7URs9V3rsp,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, pop, r&b, rap, traditional music",2,2
Kyla,6TK7fjRPdy2GW2pJzNF23L,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, pop, r&b, rap, traditional music",1,1
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"dance, edm, electronic",5,2
Maroon 5,04gDigrS5kc9YWfZHwBETP,"hip hop, pop, r&b, rap, west coast hip hop",16,11
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"g-funk, gangster rap, hip hop, pop, rap, rock, trap, west coast hip hop",22,10
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,"hip hop, rap, southern hip hop, trap",4,1
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,"hip hop, pop, r&b, rap, southern hip hop, trap",17,17
Shakira,0EmeFodog0BfCgMzAIvKQp,"bachata, bachata pop, colombian pop, latin, latin pop, pop, reggaeton, urbano latino, vallenato",6,5
Maluma,1r4hJ1h58CWwUQe3MxPuau,"brazilian funk, brazilian pop, colombian pop, dembow, funk, funk pop, hip hop, latin, latin pop, pop, pop urbano, r&b, reggaeton, trap, trap latino, urbano latino",10,8
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,r&b,4,3
Taylor Swift,06HL4z0CvFAxyc27GXpf02,"hip hop, pop, rap, soft pop",30,3
James Arthur,4IWBUUAFIplrNtaOHcJPRM,"pop, soft pop",4,1
Migos,6oMuImdp5ZcFhWP0ESe6mG,"edm, electronic, hip hop, melodic rap, pop, rap, southern hip hop, trap",22,14
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"hip hop, melodic rap, rage rap, trap",23,8
Major Lazer,738wLrAtLtCtFOLvQBXOXp,"afrobeats, afroswing, azonto, brazilian pop, country, dancehall, electronic, funk, funk carioca, funk pop, hip hop, hiplife, latin, moombahton, pagode baiano, pop, r&b, rap, soca, soft pop, tecnobrega, traditional music",8,8
MØ,0bdfiayQAKewqEvaU6rXCv,"electronic, moombahton",7,4
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"dance, edm, electronic, electronica, pop, progressive house",5,4
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"acoustic country, country, edm, electronic, electronica, hip hop, pop country, progressive house, rap, southern hip hop, trap",9,8
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"edm, electronic, hip hop, melodic rap, neo soul, pop, r&b, rap, soft pop, trap",8,5
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"dance, edm, electronic, hip hop, melodic rap, memphis rap, moombahton, pop, r&b, rap, southern hip hop, trap",16,16
Starley,02A3cEvlLLCbIMVDrK2GHV,"electronic, melbourne bounce",1,1
Ryan Riback,33JQK4UoS2aMPYBfdB5Ftt,"electronic, melbourne bounce",1,1
Justin Timberlake,31TPClRtHm23RisEBtV3X7,,1,0
Daya,6Dd3NScHWwnW6obMFbl1BH,"edm, electronic, future bass, melodic bass",4,2
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,5,0
Steve Aoki,77AiFEVeAVj2ORpC85QVJs,"edm, electro house, electronic, k-pop, pop",3,3
Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,"edm, electro house, electronic",4,2
Calvin Harris,7CajNmpbOovFoOoasH2HaY,"disco house, edm, electronic, g-funk, gangster rap, hip hop, melodic rap, neo soul, pop, r&b, rap, soft pop, trap, west coast hip hop",15,14
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"acoustic country, country, edm, electronic, pop country",7,5
Grey,4lDBihdpMlOalxy1jkUbPl,"edm, electronic, nightcore, pop",3,3
Zedd,2qxJFvFYMEDqd7ui6kSAcq,"edm, electronic",5,5
