artist_name,artist_id,genres,num_hits,num_collab_hits
['Xavi'],['3Me35AWHCGqW4sZ7bWWJt1'],"banda, corrido, corridos bélicos, corridos tumbados, latin, música mexicana, sad sierreño",2,0
['Tate McRae'],['45dkTj5sMRSjrmBSBeiHym'],,2,0
['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],,14,0
['Jack Harlow'],['2LIk90788K0zvyj2JJVwkJ'],,1,0
['Mitski'],['2uYWxilOVlUdk4oV9DvwqK'],,1,0
['Jung Kook',['6HaGTQPmzraVmaVxvz6EUc',"k-pop, pop",2,2
'Latto'],'3MdXrJWsbVzdn6fe5JYkSQ'],"k-pop, pop",1,1
['The Weeknd',['1Xyo4u8uXC1ZmMpatF05PJ',"electro, electronic, french house, hip hop, k-pop, pop, rage rap",6,6
'JENNIE','250b0Wlc5Vk0CoUsaCY84M',"k-pop, pop",1,1
'Lily-Rose Depp'],'1pBLC0qVRTB5zVMuteQ9jJ'],"k-pop, pop",1,1
['Peso Pluma',['12GqGscKJx3aE4t07u7eVZ',"banda, brazilian pop, corrido, corridos bélicos, corridos tumbados, electro corridos, funk, funk carioca, funk pop, hip hop, latin, música mexicana, pagode baiano, pop, r&b, sad sierreño, sierreño",4,4
'Anitta'],'7FNnA9vBm6EKceENgCGRMb'],"banda, brazilian pop, corrido, corridos bélicos, corridos tumbados, electro corridos, funk, funk carioca, funk pop, hip hop, latin, música mexicana, pagode baiano, pop, r&b, sad sierreño",1,1
['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],,2,0
['Bad Bunny',['4q3ewBCX7sLwd24euuV69X',"latin, reggaeton, trap latino, urbano latino",2,2
'Feid'],'2LRoIwlKmHjgvigdNGBHNo'],"latin, reggaeton, trap latino, urbano latino",1,1
['KAROL G',['790FomKkXshlbRYZFtlgla',"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, latin pop, música mexicana, pop, reggaeton, sad sierreño, urbano latino",2,2
'Peso Pluma'],'12GqGscKJx3aE4t07u7eVZ'],"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, reggaeton, reggaeton mexa, sad sierreño, sierreño, urbano latino",4,4
['Calle 24',['6dLuQ5qXxIuWc5urxfIiZR',"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",1,1
'Chino Pacas','2rmkQLzj0k4nZdQehOUByO',"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",1,1
'Fuerza Regida'],'0ys2OFYzWYB5hRDLCsBqxt'],"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño, sierreño",1,1
['Tyla'],['3SozjO3Lat463tQICI9LcE'],"afrobeats, r&b",1,0
['Fuerza Regida',['0ys2OFYzWYB5hRDLCsBqxt',"banda, corrido, corridos bélicos, corridos tumbados, edm, electro corridos, electronic, latin, música mexicana, sad sierreño, sierreño",1,1
'Marshmello'],'64KEffDW9EtZ1y2vBYgq8T'],"banda, corrido, corridos bélicos, corridos tumbados, edm, electro corridos, electronic, latin, música mexicana, sad sierreño, sierreño",1,1
['Jung Kook'],['6HaGTQPmzraVmaVxvz6EUc'],"k-pop, pop",1,0
['Arctic Monkeys'],['7Ln80lUS6He07XvHI8qqHH'],"garage rock, indie, rock",4,0
