artist_name,artist_id,genres,num_hits,num_collab_hits
['Bad Bunny',['4q3ewBCX7sLwd24euuV69X',"latin, reggaeton, trap latino, urbano latino",3,3
'JHAYCO'],'6nVcHLIgY5pE2YCl8ubca1'],"latin, reggaeton, trap latino, urbano latino",1,1
['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],,8,0
['KAROL G'],['790FomKkXshlbRYZFtlgla'],"latin, reggaeton, urbano latino",2,0
['24kGoldn',['6fWVd57NKTalqvmjRd2t8Z',"hip hop, latin, melodic rap, reggaeton",2,2
'iann dior'],'6ASri4ePR7RlsvIQgWPJpS'],"hip hop, latin, melodic rap, reggaeton",2,2
['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],pop,7,0
['Internet Money',['6MPCFvOQv5cIGfw3jODMF0',"hip hop, melodic rap",1,1
'Gunna','2hlmm7s2ICUX0LVIhVFlZQ',"hip hop, melodic rap",1,1
'Don Toliver','4Gso3d4CscCijv0lmajZWs',"hip hop, melodic rap",1,1
'NAV'],'7rkW85dBwwrJtlHRDkJDAC'],"hip hop, melodic rap",1,1
'ROSALÍA'],'7ltDVBr6mKbRvohxheJ9h1'],"latin, reggaeton, trap latino, urbano latino",1,1
['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],"k-pop, pop",3,0
['Maluma'],['1r4hJ1h58CWwUQe3MxPuau'],"latin, reggaeton, urbano latino",1,0
['Dua Lipa',['6M2wZ9GZgrQXHCFfjv46we',"chanson, easy listening, french pop, pop, variété française",2,2
'DaBaby'],'4r63FhuTkUYltbVAg5TQnk'],"brooklyn drill, drill, hip hop, new york drill, pop",2,2
['Harry Styles'],['6KImCVD70vtIoJWnq6nGn3'],,5,0
['SAINt JHN',['0H39MdGGX6dbnnQPt6NQkZ',"electronic, slap house",1,1
'Imanbek'],'5rGrDvrLOV2VV8SCFVGWlj'],"electronic, slap house",1,1
['CJ'],['7arQA31aZVS8yS6zUveWzb'],"dembow, latin",1,0
