artist_name,artist_id,genres,num_hits,num_collab_hits
Post Malone,246dkjvS1zLTtiykXe5h60,"big room, dance, edm, electronic, hip hop, house, hyphy, trance, trap",26,9
21 Savage,1URnnhqYAYcrqrcwql10ft,"hip hop, rap, southern hip hop, trap",26,10
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"hip hop, latin, melodic rap, pop, rap, reggaeton, trap",15,5
Young Thug,50co4Is1HCEo8bhOyUWKpn,"emo rap, hip hop, melodic rap, pop, rap, trap",13,13
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"edm, electronic, electronica, k-pop, moombahton, pop, progressive house",7,4
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"edm, electronic, latin, pop, reggaeton, soft pop, trap latino, tropical house, urbano latino",6,4
Marshmello,64KEffDW9EtZ1y2vBYgq8T,"cloud rap, crunk, edm, electronic, emo rap, hip hop, melodic rap, memphis rap, pop, soft pop",8,8
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"hip hop, pop, rap, soft pop",11,3
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"g-funk, gangster rap, hip hop, pop, rap, soft pop, west coast hip hop",18,8
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,"dancehall, latin, reggaeton, traditional music, trap latino, urbano latino",7,7
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,latin,7,4
Maroon 5,04gDigrS5kc9YWfZHwBETP,"hip hop, melodic rap, pop, r&b",4,3
SZA,7tYKF4w9nC0nq9CsPZTHyP,"edm, electronic, hip hop, pop, r&b, rap, west coast hip hop",5,5
Lil Pump,3wyVrVrFCkukjdVIdirGVY,"electronic, emo rap, hip hop, latin, melodic rap, moombahton, rap, reggaeton, southern hip hop, trap, urbano latino",13,9
G-Eazy,02kJSzxNuaWGqwubyUba0Z,"hip hop, hyphy, memphis rap, pop, rap, soft pop, southern hip hop",6,6
Halsey,26VFTg2z8YR0cCuwLzESi2,"modern rock, rock",6,4
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"bachata, bachata pop, dembow, hip hop, latin, pop, reggaeton, trap, trap latino, urbano latino",11,10
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"alternative hip hop, dance, edm, electronic, hip hop, latin, r&b, rap, reggaeton",10,8
NF,6fOMl44jA4Sp5b9PpYCkzz,"christian hip hop, hip hop",2,0
Maluma,1r4hJ1h58CWwUQe3MxPuau,"brazilian funk, brazilian pop, emo rap, funk, funk pop, hip hop, latin, latin pop, pop, r&b, reggaeton, trap latino, urbano latino",12,8
Nego do Borel,1B0Rp4SWGnFgGCPU5Pju6E,"brazilian funk, brazilian pop, funk, funk pop, hip hop, latin, pop, r&b, reggaeton, urbano latino",1,1
Khalid,6LuN9FCkKOj5PcnpouEgny,"edm, electronic, electronica, hip hop, pop, progressive house, trap",20,12
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,"bachata, latin, latin pop, pop, reggaeton, trap latino, urbano latino",5,5
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"bachata, bachata pop, colombian pop, dembow, hip hop, latin, latin pop, pop, reggaeton, trap, trap latino, urbano latino",26,19
Sam Smith,2wY79sveU1sp5g7SokKOiI,"edm, electronic, pop, soft pop",6,2
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, bachata, bachata pop, brazilian funk, brazilian pop, dance, dancehall, edm, electronic, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, rap, reggaeton, traditional music, trap latino, urbano latino",21,17
Willy William,4RSyJzf7ef6Iu2rnLdabNq,"dance, edm, electronic, latin, reggaeton",3,3
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,"alternative r&b, art pop, crunk, downtempo, electronic, grime, hip hop, hyphy, memphis rap, pop, r&b, rap, southern hip hop, trap, trip hop",22,13
Cardi B,4kYSro6naA4h99UJvo89HB,"art pop, hip hop, hyperpop, hyphy, latin, pop, r&b, rap, reggaeton, trap, trap latino, urbano latino",25,18
Beyoncé,6vWDO969PvNqNYHIOW5v0m,"east coast hip hop, hip hop, latin, pop, rap, reggaeton, soft pop",5,4
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,,1,0
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,"latin, reggaeton",2,0
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"argentine trap, bachata, bachata pop, dembow, electronic, hip hop, latin, latin hip hop, latin pop, merengue, moombahton, pop, rap, reggaeton, salsa, salsa romantica, trap, trap latino, turreo, urbano latino",23,16
