artist_name,artist_id,genres,num_hits,num_collab_hits
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"alternative r&b, christmas, hip hop, jazz, pop, r&b, rap, southern hip hop",32,10
Post Malone,246dkjvS1zLTtiykXe5h60,"big room, dance, edm, electronic, glam metal, hard rock, heavy metal, hip hop, house, latin, melodic rap, metal, r&b, rap, rock, trance, trap, trap latino",52,26
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,"brazilian pop, electronic, emo rap, funk, funk carioca, funk pop, hip hop, latin, moombahton, pagode baiano, pop, r&b, rap, reggaeton, urbano latino",10,10
DJ Snake,540vIaP2JwjQb9dm3aArA4,"brazilian pop, dancehall, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, rap, reggaeton, southern hip hop, traditional music, trap, trap latino, urbano latino",8,8
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"edm, electronic, latin, pop, reggaeton, trap latino, urbano latino",10,6
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"bachata, bachata pop, colombian pop, dembow, hip hop, latin, pop, reggaeton, trap, trap latino, urbano latino",27,21
Cardi B,4kYSro6naA4h99UJvo89HB,"hip hop, hyphy, latin, pop, reggaeton, soft pop, trap latino, urbano latino",18,15
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"afrobeat, afrobeats, afropop, afroswing, azonto, dancehall, dembow, hip hop, hiplife, latin, latin hip hop, latin rock, mexican rock, pop, r&b, rap, reggaeton, rock, rock en español, symphonic rock, traditional music, trap latino, urbano latino",24,19
Drake,3TVXtAsR1Inumwj472S9r4,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, latin, melodic rap, memphis rap, pop, r&b, rap, reggaeton, southern hip hop, traditional music, trap latino, urbano latino",38,19
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,"brooklyn drill, drill, glam metal, hard rock, heavy metal, hip hop, latin, melodic rap, metal, new york drill, pop, r&b, rap, rock, soft pop, southern hip hop, trap",30,24
Halsey,26VFTg2z8YR0cCuwLzESi2,"emo rap, hip hop, k-pop, melodic rap, pop, rap, rap rock, rock",12,8
Ava Max,4npEfmQ6YuiwW1GpUmaq3F,,3,1
Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,"colombian pop, latin, latin pop, pop, reggaeton, trap latino",2,2
Farruko,329e4yvIujISKGKz1BZZbO,"argentine trap, bachata, brazilian pop, colombian pop, dembow, funk, funk carioca, funk pop, hip hop, latin, latin alternative, latin pop, pagode baiano, pop, r&b, reggaeton, trap latino, urbano latino",15,15
Marshmello,64KEffDW9EtZ1y2vBYgq8T,"country, edm, electronic, hip hop, melodic rap, pop, pop country, r&b, synthpop",12,10
Bastille,7EQ0qTo7fWT7DPxmxtSYEc,"edm, electronic",4,2
Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,"argentine trap, drill, electronic, grime, hip hop, latin, pop, reggaeton, soft pop, trap latino, uk drill, urbano latino",11,4
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,"hip hop, rap, southern hip hop, trap",3,2
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,"hip hop, melodic rap, rap, southern hip hop, trap",16,12
Meek Mill,20sxb77xiYeusSH8cVdatc,"hip hop, hyphy, latin, melodic rap, pop, rap, reggaeton, soft pop",11,11
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,"hip hop, rap, southern hip hop, trap",3,2
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"emo, rock",5,2
benny blanco,5CiGnKThu5ctn9pBxv7DGa,"edm, electronic, emo rap, hip hop, latin, melodic rap, pop, r&b, reggaeton",5,5
Khalid,6LuN9FCkKOj5PcnpouEgny,"edm, electronic, electronica, hip hop, house, melodic rap, moombahton, pop, progressive house, sexy drill, soft pop",34,15
Maroon 5,04gDigrS5kc9YWfZHwBETP,"pop, r&b",4,2
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"german hip hop, hip hop, latin, melodic rap, memphis rap, rap, reggaeton, southern hip hop, trap, turkish hip hop",20,18
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,"german hip hop, hip hop, melodic rap, rap, trap, turkish hip hop",21,15
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"afrobeat, afrobeats, afropop, afroswing, azonto, brazilian funk, brazilian pop, dance, dancehall, dembow, drill, edm, electronic, funk, funk carioca, funk pop, hip hop, hiplife, latin, latin pop, latin rock, mexican rock, moombahton, pagode baiano, pop, r&b, rap, reggaeton, rock, rock en español, symphonic rock, traditional music, trap latino, urbano latino",32,30
