Artist,Genres,num_hits,num_collab_hits
SZA,"hip hop, r&b, rap",15,8
Sam Smith,"afrobeat, afrobeats, dancehall, edm, electronic, pop, r&b, reggae, soft pop, traditional music",9,6
Kim Petras,"pop, soft pop",3,3
Harry Styles,,3,0
David Guetta,"dance, edm, electronic",5,5
Bebe Rexha,"dance, edm, electronic",1,1
Manuel Turizo,"colombian pop, edm, electronic, latin, latin pop, pop, reggaeton",5,3
Bizarrap,"argentine trap, banda, corrido, corridos bélicos, corridos tumbados, electro corridos, hip hop, latin, latin pop, música mexicana, pop, reggaeton, sad sierreño, trap, trap latino, urbano latino",14,14
Quevedo,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",19,11
Metro Boomin,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, melodic rap, pop, r&b, rap, traditional music, trap",13,13
The Weeknd,"east coast hip hop, electro, electronic, french house, hip hop, k-pop, latin, pop, rage rap, rap, reggaeton, trap latino, urbano latino",23,15
21 Savage,"drill, east coast hip hop, hip hop, melodic rap, rap, trap",12,12
Bad Bunny,"banda, corrido, corridos bélicos, corridos tumbados, cumbia norteña, dembow, grupera, hip hop, latin, latin alternative, música mexicana, norteño, rap, reggaeton, tejano, trap, trap latino, urbano latino",46,25
Chencho Corleone,"latin, reggaeton, trap latino, urbano latino",3,2
Taylor Swift,"art pop, emo, emo pop, hip hop, indie rock, pop, pop punk, rock, west coast hip hop",78,8
Arcángel,"argentine trap, art pop, electronic, experimental, hip hop, hyperpop, latin, neoperreo, pop, reggaeton, rock, trap latino, urbano latino",5,5
ROSALÍA,"latin, reggaeton, trap latino, urbano latino",7,4
Drake,"afrobeat, afrobeats, afropiano, afropop, afroswing, alté, azonto, dancehall, drill, electronic, grime, hip hop, latin, melodic rap, pop, r&b, rage rap, ragga, rap, reggae, reggaeton, riddim, soca, traditional music, trap, trap latino, uk drill, urbano latino",44,25
Ozuna,"latin, latin pop, pop, reggaeton, trap latino, urbano latino",2,2
Feid,"afrobeat, afrobeats, afropiano, afropop, dancehall, latin, pop, r&b, reggaeton, traditional music, trap latino, urbano latino",26,20
Rema,"afrobeat, afrobeats, afropiano, afropop, latin, pop, r&b, reggaeton, traditional music, urbano latino",5,4
Selena Gomez,"afrobeat, afrobeats, afropiano, afropop, pop, r&b, traditional music",3,2
Meghan Trainor,"christmas, country, jazz",3,1
OneRepublic,"pop, soft pop",3,0
Stephen Sanchez,,2,1
Em Beihold,,1,1
JVKE,"drift phonk, electronic, hip hop, k-pop, phonk, pop, soft pop",6,5
Tom Odell,,1,0
Bomba Estéreo,"latin, latin alternative, reggaeton, trap latino, urbano latino",1,1
Beyoncé,"east coast hip hop, hip hop, rap, west coast hip hop",5,3
RAYE,"electronic, grime, pop, uk drill",4,4
070 Shake,,3,3
King,"desi, desi hip hop, desi pop, hindi hip hop, hindi indie, hindi pop, hip hop, pop, rock",1,0
Ñengo Flow,"hip hop, latin, reggaeton, trap, trap latino, urbano latino",4,4
Glass Animals,,2,0
d4vd,,4,0
Lady Gaga,"art pop, pop",3,1
