Artist,Genres,num_hits,num_collab_hits
Tones And I,,4,0
Arizona Zervas,,2,0
KAROL G,"brooklyn drill, drill, hip hop, latin, new york drill, reggaeton, trap latino, urbano latino",10,8
Nicki Minaj,"afrobeat, afrobeats, afropop, afroswing, alté, azonto, dancehall, electronic, hip hop, hiplife, latin, moombahton, pop, r&b, rap, reggaeton, traditional music, urbano latino",10,9
Post Malone,"glam metal, hard rock, heavy metal, hip hop, latin, melodic rap, metal, rap, rock, trap, trap latino",18,14
Maroon 5,pop,4,1
Trevor Daniel,pop,3,1
Dua Lipa,"chanson, easy listening, edm, electronic, french pop, hip hop, k-pop, latin, pop, reggaeton, trap latino, urbano latino, variété française",26,11
Black Eyed Peas,"latin, latin pop, pop, reggaeton, trap latino, urbano latino",10,9
J Balvin,"afrobeat, afrobeats, afropop, afroswing, azonto, dancehall, dembow, drill, electronic, hip hop, hiplife, italian trap, latin, latin pop, melodic rap, moombahton, pop, r&b, reggaeton, traditional music, trap, trap latino, urbano latino",38,27
Shawn Mendes,pop,20,5
Camila Cabello,"hip hop, melodic rap, pop, rap, soft pop, trap",6,5
The Weeknd,"edm, electro, electronic, emo rap, french house, hip hop, latin, melodic rap, pop, reggaeton, urbano latino",31,8
Roddy Ricch,"brooklyn drill, drill, east coast hip hop, hip hop, melodic rap, new york drill, rap",16,15
Billie Eilish,,16,1
Lewis Capaldi,"pop, soft pop",4,0
Harry Styles,,5,0
Bad Bunny,"alternative r&b, argentine trap, chilean mambo, chilean trap, hip hop, latin, mambo, pop, r&b, rap, reggaeton, reggaeton chileno, trap, trap latino, urbano latino",59,32
DaBaby,"brooklyn drill, drill, hip hop, melodic rap, memphis rap, new york drill, pop, r&b, rap, trap",36,24
Swae Lee,"brooklyn drill, country, drill, hip hop, new york drill, pop country",4,3
blackbear,"pop, soft pop",10,6
Anuel AA,"dembow, electronic, emo rap, hip hop, latin, latin hip hop, latin pop, melodic rap, neoperreo, pop, rap, rap rock, reggaeton, reggaeton chileno, rkt, rock, trap latino, urbano latino",30,25
Daddy Yankee,"dembow, latin, reggaeton, trap latino, urbano latino",13,12
Ozuna,"colombian pop, dembow, electronic, hip hop, latin, latin hip hop, neoperreo, pop, reggaeton, reggaeton chileno, rkt, trap latino, urbano latino",23,20
Selena Gomez,"k-pop, latin, pop, reggaeton, trap latino, urbano latino",23,6
Regard,,2,1
Travis Scott,"brooklyn drill, drill, electronic, glam metal, hard rock, heavy metal, hip hop, house, latin, melodic rap, metal, new york drill, piano house, pop, rap, rock, soft pop, trap",27,20
Juice WRLD,"drill, edm, electronic, emo rap, hip hop, latin, melodic rap, moombahton, rap, reggaeton, trap latino, urbano latino",49,24
YoungBoy Never Broke Again,"emo rap, hip hop, melodic rap, rap, trap",9,8
Ed Sheeran,"afrobeat, afrobeats, afropiano, afropop, afroswing, bassline, dance pop, dancehall, electronic, grime, hip hop, house, piano house, pop, r&b, rap, soft pop, traditional music, uk drill, uk garage",12,7
Justin Bieber,"country, hip hop, latin, melodic rap, pop, r&b, rap, reggaeton, soft pop",32,19
Rauw Alejandro,"argentine trap, colombian pop, dembow, hip hop, kizomba, latin, pop, reggaeton, trap, trap latino, urbano latino",17,14
Farruko,"argentine trap, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, latin pop, pagode baiano, pop, r&b, reggaeton, trap latino, urbano latino",8,7
Khalid,"country, electronic, house, neo soul, pop, pop country, r&b, soft pop",11,8
Don Toliver,"hip hop, melodic rap, rap",13,9
Lil Nas X,"east coast hip hop, hip hop",5,2
Billy Ray Cyrus,,1,1
Lil Uzi Vert,"alternative r&b, drill, emo rap, hip hop, melodic rap, r&b, rap, trap",56,32
ROSALÍA,"drill, hip hop, latin, rap, reggaeton, trap latino, urbano latino",8,7
Lil Baby,"brooklyn drill, drill, hip hop, latin, melodic rap, memphis rap, new york drill, rap, trap",36,25
Tainy,"latin, pop, reggaeton, trap latino, urbano latino",4,4
Ariana Grande,"art pop, christmas, jazz, pop",29,12
Y2K,"hip hop, meme rap",1,1
bbno$,"hip hop, meme rap",1,1
Dalex,"argentine trap, brazilian pop, dembow, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, reggaeton, trap, trap latino, urbano latino",9,8
Lenny Tavárez,"argentine trap, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, reggaeton, trap latino, urbano latino",7,7
Chencho Corleone,"argentine trap, dembow, hip hop, latin, reggaeton, trap, trap latino, urbano latino",5,5
Juhn,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",2,2
Dímelo Flow,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",3,3
Nicky Jam,"dembow, latin, reggaeton, trap latino, urbano latino",6,6
Sam Smith,"afrobeat, afrobeats, afropiano, afropop, afroswing, dancehall, pop, r&b, soft pop, traditional music",14,4
JHAYCO,"latin, reggaeton, trap latino, urbano latino",5,5
MEDUZA,,3,3
Becky Hill,,1,1
Goodboys,,2,2
Dan + Shay,country,3,1
Arcángel,"bachata, bachata pop, brazilian pop, electronic, funk, funk carioca, funk pop, hip hop, latin, latin hip hop, neoperreo, pagode baiano, pop, r&b, reggaeton, reggaeton chileno, rkt, trap latino, urbano latino",7,7
Sech,"argentine trap, bachata, bachata pop, dembow, hip hop, latin, pop, reggaeton, trap latino, urbano latino",17,15
Lizzo,pop,4,2
Tyga,"brazilian funk, brazilian pop, brooklyn drill, drill, electronic, funk, funk carioca, funk pop, hip hop, latin, new york drill, pagode baiano, pop, r&b, rap, reggaeton, tropical house",10,8
Mustard,"hip hop, melodic rap",2,2
Marshmello,"country, edm, electronic, emo rap, hip hop, melodic rap, pop country, r&b, slap house",11,11
Bastille,"edm, electronic",1,1
YNW Melly,"emo rap, hip hop, melodic rap",3,2
Cardi B,"brazilian pop, funk, funk carioca, funk pop, hip hop, k-pop, latin, pagode baiano, pop, r&b, reggaeton, soft pop, trap latino, urbano latino",8,8
JACKBOYS,"brooklyn drill, drill, hip hop, melodic rap, new york drill, rap, trap",4,4
Young Thug,"drill, hip hop, melodic rap, pop, r&b, rap, trap",22,22
Lil Tecca,"hip hop, melodic rap, rap",3,2
El Guincho,"drill, hip hop, latin, reggaeton",1,1
SHAED,,3,3
ZAYN,,4,3
Lady Gaga,"art pop, k-pop, pop",19,6
Bradley Cooper,"art pop, pop",1,1
21 Savage,"hip hop, melodic rap, r&b, rap, trap",19,19
Queen,"art rock, classic rock, glam rock, rock",5,1
