Artist,Genres,num_hits,num_collab_hits
Bad Bunny,"bachata, bachata pop, latin, latin pop, latin rock, pop, reggaeton, rock, trap latino, urbano latino",17,11
JHAYCO,"latin, reggaeton, trap latino, urbano latino",8,8
The Weeknd,"alternative r&b, art pop, east coast hip hop, edm, electro, electronic, french house, hip hop, latin, melodic rap, pop, r&b, rap, reggaeton, trap, urbano latino",26,13
KAROL G,"big room, dance, edm, electronic, house, latin, reggaeton, trance, trap latino, urbano latino",12,8
24kGoldn,"hip hop, latin, melodic rap, rap, reggaeton",5,5
iann dior,"hip hop, latin, melodic rap, reggaeton",6,6
Ariana Grande,"art pop, christmas, jazz, pop",23,12
Internet Money,"hip hop, melodic rap, rap",3,3
Gunna,"dance, edm, electronic, hip hop, melodic rap, rap, slap house, trap",11,11
Don Toliver,"dubstep, edm, electro, electronic, hip hop, melodic rap, rap",10,5
NAV,"hip hop, melodic rap",1,1
ROSALÍA,"dembow, electronic, latin, neoperreo, reggaeton, trap latino, urbano latino",6,6
BTS,"emo rap, hip hop, k-pop, melodic rap, pop",21,7
Maluma,"argentine trap, banda, colombian pop, corrido, corridos bélicos, corridos tumbados, dembow, grupera, hip hop, latin, música mexicana, norteño, pop, pop urbano, reggaeton, sierreño, trap latino, urbano latino",8,5
Dua Lipa,"brooklyn drill, chanson, dancehall, drill, easy listening, french pop, hip hop, latin, new york drill, pop, reggaeton, traditional music, trap latino, urbano latino, variété française",14,8
DaBaby,"brooklyn drill, drill, hip hop, melodic rap, new york drill, pop, rap",11,8
Harry Styles,,5,0
SAINt JHN,"electronic, slap house",1,1
Imanbek,"dance, edm, electronic, hip hop, melodic rap, slap house",3,3
CJ,"dembow, latin",2,0
Justin Bieber,"afrobeat, afrobeats, afropiano, afropop, afroswing, alté, azonto, country, dancehall, dubstep, edm, edm trap, electro, electronic, emo rap, hip hop, latin, melodic rap, pop, r&b, reggaeton, soft pop, traditional music, trap",41,28
Cardi B,"hip hop, latin, r&b, reggaeton, trap, trap latino, urbano latino",8,6
Megan Thee Stallion,"k-pop, latin, pop, reggaeton, trap latino, urbano latino",14,12
Tones And I,,3,0
Billie Eilish,latin,28,3
The Kid LAROI,"drill, emo rap, hip hop, melodic rap",13,8
Pop Smoke,"brooklyn drill, drill, east coast hip hop, hip hop, melodic rap, new york drill, pop, r&b, rap, southern hip hop, trap, uk drill",28,20
Lil Nas X,,19,6
Roddy Ricch,"brooklyn drill, drill, east coast hip hop, hip hop, melodic rap, new york drill, r&b",9,5
Joel Corry,"art pop, dance, dance pop, edm, electronic, hyperpop, pop",4,4
MNEK,"dance pop, pop",1,1
Shawn Mendes,"colombian pop, latin, pop, reggaeton",7,5
Rauw Alejandro,"argentine trap, colombian pop, dembow, hip hop, latin, latin pop, pop, r&b, reggaeton, trap latino, urbano latino",22,16
Anuel AA,"argentine trap, electronic, hip hop, latin, neoperreo, reggaeton, reggaeton chileno, rkt, trap latino, urbano latino",13,12
Ed Sheeran,"afro soul, afrobeat, afrobeats, afropiano, afropop, afroswing, pop, r&b, soft pop, traditional music",29,6
Boza,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",3,1
Os Barões Da Pisadinha,"agronejo, arrocha, brega, country, forró, latin, piseiro, sertanejo, sertanejo universitário, tecnobrega",9,7
Camilo,"colombian pop, dembow, latin, pop, reggaeton, trap latino, urbano latino",12,8
Manuel Turizo,"argentine trap, colombian pop, hip hop, latin, pop, reggaeton, trap, trap latino, urbano latino",3,3
Myke Towers,"argentine trap, colombian pop, dembow, electronic, hip hop, latin, neoperreo, pop, reggaeton, reggaeton chileno, rkt, trap latino, urbano latino",17,15
Sebastian Yatra,"colombian pop, latin, pop, reggaeton, trap latino, urbano latino",3,2
Guaynaa,"colombian pop, latin, pop, reggaeton",2,2
Taylor Swift,"country, folk/acoustic, indie folk, pop, soft pop",92,14
Farruko,"dembow, guaracha, latin, reggaeton, trap latino, urbano latino",6,3
Sech,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",10,7
Daddy Yankee,"latin, reggaeton, trap latino, urbano latino",3,2
J Balvin,"argentine trap, dubstep, edm, electro, electronic, hip hop, latin, melodic rap, pop, reggaeton, trap latino, urbano latino",22,20
Tate McRae,,5,3
Lil Baby,"brooklyn drill, drill, hip hop, melodic rap, new york drill, r&b, rap, trap",21,20
benny blanco,"edm, electronic, folk pop, pop",3,3
Sia,"dance, dancehall, edm, electronic, moombahton, traditional music",6,4
Jawsh 685,,1,1
Jason Derulo,,5,3
Miley Cyrus,"chamber music, classical, metal, pop, rap metal, rap rock, rock",6,4
Lewis Capaldi,"pop, soft pop",2,0
El Alfa,"colombian pop, dembow, latin, pop, reggaeton, urbano latino",3,3
Tiësto,"big room, dance, edm, electronic, house, latin, reggaeton, trance, urbano latino",3,2
Post Malone,"emo rap, hip hop, melodic rap, rap, trap",9,6
Juhn,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",2,2
Drake,"afrobeat, afrobeats, afropiano, afropop, afroswing, alté, azonto, crunk, dancehall, drill, east coast hip hop, gangster rap, hip hop, melodic rap, memphis rap, pop, r&b, rap, southern hip hop, traditional music, trap",39,27
Lil Durk,"country, drill, hip hop, melodic rap, memphis rap, r&b, rap",18,18
Lil Mosey,"hip hop, melodic rap, rap",2,1
Xand Avião,"agronejo, arrocha, brega, brega funk, country, forró, funk, latin, piseiro, pop, r&b, seresta, sertanejo, sertanejo universitário, tecnobrega",3,3
Ozuna,"colombian pop, k-pop, latin, pop, reggaeton, trap latino, urbano latino",9,7
Chencho Corleone,"latin, reggaeton, trap latino, urbano latino",2,2
Nicki Minaj,"hip hop, latin, rap, reggaeton, urbano latino",8,6
HVME,"electronic, hip hop, rap, slap house",2,1
SZA,r&b,6,4
Lele Pons,"latin, reggaeton",1,1
Fleetwood Mac,"classic rock, rock, soft rock",1,0
Jay Wheeler,"dembow, latin, reggaeton, trap latino, urbano latino",2,2
DJ Nelson,"latin, reggaeton, trap latino, urbano latino",1,1
Petter Ferraz,"arrocha, brega, brega funk, country, forró, piseiro, pop",1,1
Menor Nico,"arrocha, brega, brega funk, country, forró, piseiro, pop",1,1
Wisin,"latin, reggaeton, trap latino, urbano latino",3,3
Los Legendarios,"latin, reggaeton, trap latino, urbano latino",3,3
Ritt Momney,"bedroom pop, pop",1,0
The Neighbourhood,,2,0
Lady Gaga,"art pop, brazilian pop, country, funk pop, hyperpop, pop, tecnobrega",4,4
Migrantes,"cuarteto, cumbia, latin, rkt",1,1
Alico,"cuarteto, cumbia, latin, rkt",1,1
Conan Gray,,5,0
Chance the Rapper,,2,2
Justin Quiles,"argentine trap, dembow, hip hop, latin, reggaeton, trap, trap latino, urbano latino",8,6
MEDUZA,,3,3
Dermot Kennedy,,2,1
Topic,"electronic, trance",2,2
A7S,"electronic, trance",2,2
Doja Cat,"hip hop, melodic rap, pop, r&b, rap, trap",25,13
Black Eyed Peas,"latin, latin pop, pop",2,1
Shakira,"latin, latin pop, pop",2,2
Tainy,"latin, latin pop, latin rock, pop, reggaeton, rock, trap latino, urbano latino",4,4
Tarcísio do Acordeon,"agronejo, arrocha, brega, country, forró, latin, piseiro, seresta, sertanejo, sertanejo universitário",7,6
Powfu,"bedroom pop, pop",1,1
beabadoobee,"bedroom pop, pop",1,1
Swae Lee,"brooklyn drill, drill, hip hop, melodic rap, new york drill",2,2
Lenny Tavárez,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",4,4
Jonas Esticado,"arrocha, country, forró, latin, piseiro, sertanejo, sertanejo universitário",1,0
Queen,"art rock, classic rock, glam rock, rock",5,1
Juice WRLD,"edm, electronic, emo rap, hip hop, k-pop, melodic rap, pop, rap, trap",33,12
Bizarrap,"argentine trap, drill, hip hop, latin, latin hip hop, mexican hip hop, reggaeton, rkt, trap, trap latino, turreo, urbano latino",11,11
NATHY PELUSO,"argentine trap, flamenco, hip hop, latin, latin hip hop, trap latino, urbano latino",2,2
Zé Neto & Cristiano,"agronejo, arrocha, country, latin, sertanejo, sertanejo universitário",5,0
Tierry,"arrocha, brega, country, forró, latin, piseiro, seresta, sertanejo, sertanejo universitário",1,0
Camila Cabello,"latin, pop, reggaeton, trap latino, urbano latino",4,3
Maroon 5,"hip hop, pop, rap",6,3
Fernando & Sorocaba,"agronejo, arrocha, brega, country, forró, latin, piseiro, seresta, sertanejo, sertanejo universitário, tecnobrega",2,2
Luísa Sonza,"brazilian pop, country, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, tecnobrega",2,1
Pabllo Vittar,"art pop, brazilian pop, country, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, tecnobrega",2,2
Anitta,"brazilian funk, brazilian pop, brega funk, country, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, tecnobrega",4,3
Travis Scott,"drill, electronic, hip hop, melodic rap, rap, slap house, trap",14,9
Jorge & Mateus,"agronejo, arrocha, country, latin, sertanejo, sertanejo universitário",5,0
Future,"brooklyn drill, drill, hip hop, melodic rap, new york drill, rap, trap",7,7
Nio Garcia,"dembow, electronic, latin, neoperreo, reggaeton, reggaeton chileno, rkt, trap latino, urbano latino",5,5
Brray,"electronic, latin, neoperreo, reggaeton, reggaeton chileno, rkt, trap latino, urbano latino",1,1
Juanka,"electronic, latin, neoperreo, reggaeton, reggaeton chileno, rkt, trap latino, urbano latino",1,1
Khalid,"latin, reggaeton",8,6
Marshmello,"edm, electronic, emo rap, folk pop, hip hop, melodic rap, pop",6,6
Whitney Houston,"electronic, tropical house",2,1
A Boogie Wit da Hoodie,"brooklyn drill, dance, drill, edm, electronic, hip hop, melodic rap, new york drill",2,2
Wesley Safadão,"agronejo, arrocha, brega, country, forró, latin, piseiro, sertanejo, sertanejo universitário, tecnobrega",3,2
Zé Vaqueiro,"arrocha, brega, country, forró, latin, piseiro, sertanejo",1,0
Nicky Jam,"argentine trap, bachata, bachata pop, hip hop, latin, pop, reggaeton, trap latino, urbano latino",5,5
Trevor Daniel,,1,0
Surfaces,,1,0
Earth,"disco, r&b",1,1
Wind & Fire,"disco, r&b",1,1
Macklemore,,2,2
Ryan Lewis,,2,2
Macklemore & Ryan Lewis,,2,2
Ray Dalton,,2,2
Regard,,2,1
Douglas & Vinicius,"arrocha, brega, brega funk, country, funk, latin, piseiro, pop, r&b, sertanejo, sertanejo universitário",1,1
MC Bruninho,"arrocha, brega, brega funk, country, funk, latin, piseiro, pop, r&b, sertanejo, sertanejo universitário",1,1
DJ Khaled,"drill, east coast hip hop, hip hop, melodic rap, r&b, rap",8,8
Ofenbach,,2,2
Quarterhead,,1,1
Norma Jean Martine,,1,1
Ava Max,"big room, dance, edm, electronic, house, trance",5,1
Bradley Cooper,"art pop, pop",1,1
