Artist,Genres,num_hits,num_collab_hits
Ariana Grande,"alternative r&b, christmas, hip hop, jazz, pop, r&b, rap, southern hip hop",33,11
Post Malone,"big room, dance, edm, electronic, glam metal, hard rock, heavy metal, hip hop, house, latin, melodic rap, metal, r&b, rap, rock, trance, trap, trap latino",52,26
Swae Lee,"brazilian pop, electronic, emo rap, funk, funk carioca, funk pop, hip hop, latin, moombahton, pagode baiano, pop, r&b, rap, reggaeton, urbano latino",10,10
DJ Snake,"brazilian pop, dancehall, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, rap, reggaeton, southern hip hop, traditional music, trap, trap latino, urbano latino",8,8
Selena Gomez,"edm, electronic, latin, pop, reggaeton, trap latino, urbano latino",10,6
Ozuna,"bachata, bachata pop, colombian pop, dembow, hip hop, latin, pop, reggaeton, trap, trap latino, urbano latino",27,20
Cardi B,"hip hop, hyphy, latin, pop, reggaeton, soft pop, trap latino, urbano latino",18,15
Bad Bunny,"afrobeat, afrobeats, afropop, afroswing, azonto, dancehall, dembow, hip hop, hiplife, latin, latin hip hop, latin rock, mexican rock, pop, r&b, rap, reggaeton, rock, rock en español, symphonic rock, traditional music, trap latino, urbano latino",24,19
Drake,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, latin, melodic rap, memphis rap, pop, r&b, rap, reggaeton, southern hip hop, traditional music, trap latino, urbano latino",38,19
Travis Scott,"brooklyn drill, drill, glam metal, hard rock, heavy metal, hip hop, latin, melodic rap, metal, new york drill, pop, r&b, rap, rock, soft pop, southern hip hop, trap",30,24
Halsey,"emo rap, hip hop, k-pop, melodic rap, pop, rap, rap rock, rock",12,8
Ava Max,,3,1
Pedro Capó,"colombian pop, latin, latin pop, pop, reggaeton, trap latino",2,2
Farruko,"argentine trap, brazilian pop, colombian pop, dembow, funk, funk carioca, funk pop, hip hop, latin, latin alternative, latin pop, pagode baiano, pop, r&b, reggaeton, trap latino, urbano latino",15,15
