Artist,Genres,num_hits,num_collab_hits
The Weeknd,"electro, electronic, french house, hip hop, melodic rap, rap, southern hip hop, trap, west coast hip hop",22,13
Daft Punk,"electro, electronic, french house, hip hop",2,2
The Chainsmokers,"acoustic country, chanson, country, easy listening, french pop, pop, pop country, r&b, variété française",18,12
Halsey,,9,4
DJ Snake,"electronic, moombahton",4,4
Justin Bieber,"dance, edm, electronic, hip hop, latin, moombahton, rap, reggaeton",12,8
Clean Bandit,"dancehall, traditional music",3,3
Sean Paul,"dancehall, pop, traditional music",2,2
Anne-Marie,"dancehall, hip hop, rap, traditional music",5,3
Drake,"afro house, afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, electronic, grime, hip hop, house, melodic rap, pop, r&b, rap, southern hip hop, traditional music, trap",38,21
Wizkid,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, pop, r&b, rap, traditional music",2,2
Kyla,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, pop, r&b, rap, traditional music",1,1
Bruno Mars,"dance, edm, electronic",5,2
Maroon 5,"hip hop, pop, r&b, rap, west coast hip hop",16,11
Kendrick Lamar,"g-funk, gangster rap, hip hop, pop, rap, rock, trap, west coast hip hop",22,10
Rae Sremmurd,"hip hop, rap, southern hip hop, trap",4,3
Gucci Mane,"hip hop, pop, r&b, rap, southern hip hop, trap",17,17
Shakira,"bachata, bachata pop, colombian pop, latin, latin pop, pop, reggaeton, urbano latino, vallenato",6,5
Maluma,"brazilian funk, brazilian pop, colombian pop, dembow, funk, funk carioca, funk pop, hip hop, latin, latin pop, pop, pop urbano, r&b, reggaeton, trap, trap latino, urbano latino",10,8
ZAYN,r&b,4,3
Taylor Swift,"hip hop, pop, rap, soft pop",30,3
James Arthur,"pop, soft pop",4,1
Migos,"edm, electronic, hip hop, melodic rap, pop, rap, southern hip hop, trap",22,14
Lil Uzi Vert,"hip hop, melodic rap, rage rap, trap",23,8
Major Lazer,"afrobeats, afroswing, azonto, brazilian pop, country, dancehall, electronic, funk, funk carioca, funk pop, hip hop, hiplife, latin, moombahton, pagode baiano, pop, r&b, rap, soca, soft pop, tecnobrega, traditional music",8,8
MØ,"electronic, moombahton",7,4
Martin Garrix,"dance, edm, electronic, electronica, pop, progressive house",5,4
Bebe Rexha,"acoustic country, country, edm, electronic, electronica, hip hop, pop country, progressive house, rap, southern hip hop, trap",9,8
Ariana Grande,"edm, electronic, hip hop, melodic rap, neo soul, pop, r&b, rap, soft pop, trap",8,5
Nicki Minaj,"dance, edm, electronic, hip hop, melodic rap, memphis rap, moombahton, pop, r&b, rap, southern hip hop, trap",16,16
Starley,"electronic, melbourne bounce",1,1
Ryan Riback,"electronic, melbourne bounce",1,1
Justin Timberlake,,1,0
Daya,"edm, electronic, future bass, melodic bass",4,2
Shawn Mendes,pop,5,0
Steve Aoki,"edm, electro house, electronic, k-pop, pop",3,3
Louis Tomlinson,"edm, electro house, electronic",4,2
Calvin Harris,"disco house, edm, electronic, g-funk, gangster rap, hip hop, melodic rap, neo soul, pop, r&b, rap, soft pop, trap, west coast hip hop",15,14
Hailee Steinfeld,"acoustic country, country, edm, electronic, pop country",7,5
Grey,"edm, electronic, nightcore, pop",3,3
Zedd,"edm, electronic",5,5
mgk,pop,4,4
Camila Cabello,"electronic, hip hop, latin, melodic rap, moombahton, pop, rap, reggaeton, trap",12,7
Twenty One Pilots,,3,0
Sia,"dance, edm, electronic, hip hop, west coast hip hop",10,4
Phoebe Ryan,,1,1
