Artist,Genres,num_hits,num_collab_hits
The Kid LAROI,"brooklyn drill, drill, hip hop, new york drill, pop, uk drill",4,3
Justin Bieber,"afro soul, afrobeat, afrobeats, afropiano, afropop, afroswing, alté, emo rap, hip hop, melodic rap, pop, r&b, traditional music",11,7
GAYLE,,1,0
Elton John,"pop, soft pop",7,6
Dua Lipa,"dancehall, edm, electronic, hip hop, melodic rap, pop, rap, traditional music, trap",12,9
PNAU,pop,2,2
Glass Animals,,1,0
Farruko,"latin, reggaeton, trap latino",1,0
Lil Nas X,,5,2
Jack Harlow,"hip hop, r&b, rap",18,6
Adele,"pop, soft pop",4,0
Imagine Dragons,,10,4
JID,"hip hop, rap",4,4
Arcane,,4,4
League of Legends,"edm, electronic",5,5
ACRAZE,"electronic, tech house",1,1
Cherish,"electronic, tech house",1,1
Ed Sheeran,"afro soul, afrobeat, afrobeats, afropiano, afropop, afroswing, argentine trap, dancehall, emo, hip hop, latin, metal, metalcore, pop, post-hardcore, r&b, reggaeton, rock, screamo, soft pop, traditional music, trap latino",25,12
Olivia Rodrigo,,7,0
Doja Cat,r&b,11,4
SZA,"east coast hip hop, hardcore hip hop, hip hop, r&b, rap",27,6
The Weeknd,"edm, electro, electronic, french house, hip hop, latin, pop, rap",44,18
Coldplay,"k-pop, pop",7,2
BTS,"emo rap, g-funk, gangster rap, hip hop, k-pop, melodic rap, pop, rap, soft pop, west coast hip hop",35,7
Bad Bunny,"bachata, bachata pop, bedroom pop, latin, latin alternative, latin indie, latin pop, latin rock, pop, reggaeton, rock, trap latino, urbano latino",40,20
Zé Felipe,"agronejo, arrocha, brazilian funk, brega, brega funk, country, forró, funk, hip hop, latin, pagode baiano, piseiro, pop, r&b, sertanejo, sertanejo universitário, tecnobrega",7,6
Mc Danny,"agronejo, arrocha, brega, brega funk, country, forró, funk, latin, piseiro, pop, r&b, sertanejo, sertanejo universitário",2,2
DaBaby,pop,1,1
Jaymes Young,,1,0
CKay,"afrobeat, afrobeats, afropop, pop, r&b, traditional music",2,1
George Henrique & Rodrigo,"agronejo, arrocha, country, forró, latin, sertanejo, sertanejo universitário",2,2
Marília Mendonça,"agronejo, arrocha, brega, country, forró, latin, piseiro, seresta, sertanejo, sertanejo universitário",10,8
Måneskin,,4,0
Tainy,"latin, latin pop, latin rock, pop, reggaeton, rock, trap latino, urbano latino",2,2
Julieta Venegas,"latin, latin pop, latin rock, pop, reggaeton, rock, trap latino, urbano latino",1,1
Rauw Alejandro,"latin, latin pop, pop, r&b, reggaeton, trap latino, urbano latino",14,11
Paulo Pires,"arrocha, brega, brega funk, country, forró, funk, latin, piseiro, pop, r&b, sertanejo",1,1
Marcynho Sensação,"agronejo, arrocha, brega, brega funk, country, forró, funk, latin, piseiro, pop, r&b, seresta, sertanejo, sertanejo universitário",4,4
LISA,"k-pop, pop",1,0
Carolina Gaitán,,1,1
Mauro Castillo,,1,1
Adassa,,1,1
Rhenzy Feliz,,1,1
Diane Guerrero,,2,2
Stephanie Beatriz,,4,3
Encanto - Cast,,2,2
Maiara & Maraisa,"arrocha, country, forró, latin, piseiro, sertanejo, sertanejo universitário",3,3
JHAYCO,"latin, reggaeton, trap latino, urbano latino",5,5
Lost Frequencies,"electronic, pop, soft pop, tropical house",1,1
Calum Scott,"edm, electronic, future bass, melodic bass, pop, soft pop, tropical house",2,2
Bizarrap,"argentine trap, electronic, hip hop, latin, latin hip hop, neoperreo, reggaeton, trap, trap latino, urbano latino",6,6
Tiago PZK,"argentine trap, hip hop, latin, reggaeton, trap, trap latino, urbano latino",5,5
Ariana Grande,"christmas, jazz, pop",9,5
Xamã,"brazilian hip hop, brazilian pop, brazilian trap, choral, classical, electronic, funk, funk carioca, funk consciente, funk pop, hip hop, latin, pop, r&b, trap, trap funk",2,2
Gustah,"brazilian hip hop, brazilian trap, electronic, hip hop, trap, trap funk",1,1
Neo Beats,"brazilian hip hop, brazilian trap, electronic, hip hop, trap, trap funk",1,1
Bagua Records,"brazilian hip hop, brazilian trap, electronic, hip hop, trap, trap funk",1,1
zzoilo,"latin pop, pop",1,1
Aitana,"latin pop, pop",1,1
Mari Fernandez,"agronejo, arrocha, brega, country, forró, latin, piseiro, sertanejo, sertanejo universitário",2,2
Henrique & Juliano,"agronejo, arrocha, country, latin, sertanejo, sertanejo universitário",3,1
Avine Vinny,"arrocha, country, forró, latin, pagode, piseiro, sertanejo, sertanejo universitário",1,1
Matheus Fernandes,"arrocha, brega, country, forró, latin, pagode, piseiro, samba, sertanejo, sertanejo universitário",3,3
Taylor Swift,"pop, soft pop",41,2
Post Malone,"chamber pop, folk, folk/acoustic, hip hop, indie, indie folk, melodic rap, pop, rock",19,10
Bruno Mars,,8,4
Anderson .Paak,,5,5
Silk Sonic,,4,4
PEDRO SAMPAIO,"brazilian funk, brazilian pop, brega funk, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b",4,2
The Walters,,1,0
Aventura,"bachata, bachata pop, latin, pop, reggaeton, trap latino, urbano latino",1,1
BoyWithUke,,4,2
Gusttavo Lima,"agronejo, arrocha, country, forró, latin, piseiro, sertanejo, sertanejo universitário",4,0
Billie Eilish,,8,1
Dj Yo!,"afrobeat, afrobeats, afropop, pop, r&b, traditional music",1,1
AX'EL,"afrobeat, afrobeats, afropop, pop, r&b, traditional music",1,1
Tiësto,"art pop, big room, dance, edm, electronic, house, hyperpop, latin, pop, reggaeton, trance, urbano latino",5,4
Ava Max,"big room, dance, edm, electronic, house, trance",3,1
The Neighbourhood,,3,0
Riton,"electronic, house",1,1
Nightcrawlers,"electronic, house",1,1
Mufasa & Hypeman,"electronic, house",1,1
Mufasa,"electronic, house",1,1
Dopamine,"electronic, house",1,1
MC Levin,"brazilian funk, brega funk, funk, hip hop, pop, r&b",1,1
DJ Nikolas Alves Exclusive,"brazilian funk, brega funk, funk, hip hop, pop, r&b",1,1
DJ Kaioken,"brazilian funk, brega funk, funk, hip hop, pop, r&b",1,1
DJ Gege,"brazilian funk, brega funk, funk, hip hop, pop, r&b",1,1
Harry Styles,,19,0
Sebastian Yatra,"colombian pop, latin, pop, reggaeton, trap latino, urbano latino",5,2
Blessd,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",1,1
Justin Quiles,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",2,2
Lenny Tavárez,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",4,4
Daniel Caesar,r&b,1,1
GIVĒON,r&b,2,1
NEIKED,,1,1
Mae Muller,,1,1
Polo G,,3,1
Rvssian,"latin, r&b, reggaeton, trap latino, urbano latino",1,1
Chris Brown,"hip hop, latin, r&b, rap, reggaeton, trap latino, urbano latino",6,4
Black Eyed Peas,"dance, edm, electronic, latin, latin pop, pop",2,1
Calibre 50,"banda, corrido, grupera, latin, música mexicana, norteño, sierreño",2,0
THE ANXIETY,,1,1
WILLOW,pop,5,4
Tyler Cole,,1,1
KAROL G,"big room, dance, edm, electronic, house, latin, reggaeton, trance, urbano latino",6,5
Swae Lee,,1,1
Emmy Meli,,1,0
Swedish House Mafia,"edm, electronic",3,3
Kodak Black,"hip hop, melodic rap, rap, west coast hip hop",7,4
Chencho Corleone,"latin, reggaeton, trap latino, urbano latino",3,3
Oliver Tree,"drift phonk, electronic, hip hop, phonk, tropical house",3,2
The Killers,"alternative rock, rock",1,0
Trueno,"argentine trap, hip hop, latin, urbano latino",2,1
Maluma,"banda, corrido, corridos bélicos, corridos tumbados, grupera, latin, música mexicana, norteño, reggaeton, sierreño, urbano latino",3,1
TINI,"argentine trap, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, latin pop, pagode baiano, pop, r&b, reggaeton, rkt, turreo",4,3
L-Gante,"latin, latin pop, pop, rkt, turreo",1,1
Jorge & Mateus,"agronejo, arrocha, country, latin, piseiro, sertanejo, sertanejo universitário",3,2
24kGoldn,"hip hop, melodic rap",1,1
iann dior,"hip hop, melodic rap, rap rock, rock",3,3
João Gomes,"arrocha, brega, country, forró, latin, piseiro, sertanejo",2,0
Grupo Firme,"banda, corrido, corridos bélicos, corridos tumbados, grupera, latin, música mexicana, norteño, ranchera, reggaeton, sad sierreño, sierreño, urbano latino",3,2
Amaarae,"afrobeats, alté, r&b",1,1
Kali Uchis,"afrobeats, alté, r&b",3,2
MOLIY,"afrobeats, alté, r&b",1,1
J Balvin,"argentine trap, dubstep, edm, electro, electronic, hip hop, latin, pop, reggaeton, soft pop, trap latino, urbano latino",5,5
Maria Becerra,"argentine trap, hip hop, latin, latin pop, pop, reggaeton, trap, trap latino, urbano latino",4,3
Mora,"hip hop, latin, latin r&b, r&b, reggaeton, trap, trap latino, urbano latino",15,8
Sech,"argentine trap, hip hop, latin, reggaeton, trap latino, urbano latino",5,5
Anitta,"brazilian funk, brazilian pop, brega funk, funk, funk carioca, funk pop, hip hop, latin, latin pop, pagode baiano, pop, r&b, reggaeton",5,2
Jessica Darrow,,2,0
Zé Neto & Cristiano,"agronejo, arrocha, country, latin, sertanejo, sertanejo universitário",2,0
Steve Lacy,,6,1
Majestic,"disco, r&b",1,1
Boney M.,"disco, r&b",2,1
Shawn Mendes,pop,5,2
Nio Garcia,"latin, reggaeton, trap latino, urbano latino",1,1
