Artist,Genres,num_hits,num_collab_hits
Tom Odell,"electronic, tropical house",2,1
Manu,"agronejo, arrocha, brega, country, forró, latin, piseiro, seresta, sertanejo, sertanejo universitário, tecnobrega",1,1
Simone Mendes,"agronejo, arrocha, brega, country, forró, latin, piseiro, seresta, sertanejo, sertanejo universitário, tecnobrega",5,2
Elton John,"pop, soft pop",3,2
PNAU,pop,1,1
Dj GBR,"brazilian funk, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap funk",1,1
Mc IG,"brazilian funk, brazilian hip hop, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap, trap funk",3,3
MC Ryan SP,"agronejo, brazilian funk, brazilian hip hop, brazilian trap, country, electronic, funk, funk consciente, hip hop, latin, piseiro, r&b, sertanejo, sertanejo universitário, trap, trap funk",3,3
MC PH,"brazilian funk, brazilian hip hop, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap, trap funk",2,2
Mc Davi,"brazilian funk, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap funk",1,1
Mc Luki,"brazilian funk, brazilian hip hop, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap, trap funk",2,2
Mc Don Juan,"brazilian funk, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap funk",1,1
Mc Kadu,"brazilian funk, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap funk",1,1
TrapLaudo,"brazilian funk, brazilian hip hop, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap, trap funk",2,2
MC GP,"brazilian funk, brazilian hip hop, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap, trap funk",2,2
MC GH do 7,"brazilian funk, brazilian hip hop, brazilian trap, electronic, funk, funk consciente, hip hop, latin, r&b, trap, trap funk",2,2
Drake,"afro house, afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, electronic, hip hop, latin house, melodic rap, pop, r&b, rage rap, rap, traditional music, trap",13,9
Yeat,"hip hop, rage rap, rap",7,2
Nicki Minaj,"emo rap, hip hop, melodic rap",4,2
Coldplay,"afrobeat, afrobeats, afropiano, afropop, afroswing, dancehall, latin pop, pop, r&b, traditional music",13,3
Luck Ra,"argentine trap, cuarteto, cumbia, hip hop, latin, rkt, trap, trap latino, turreo",3,3
BM,"argentine trap, cuarteto, cumbia, hip hop, latin, rkt, turreo",1,1
Gusttavo Lima,"agronejo, arrocha, country, forró, latin, piseiro, sertanejo, sertanejo universitário",3,1
Zé Neto & Cristiano,"agronejo, arrocha, country, latin, piseiro, sertanejo, sertanejo universitário",3,1
Bellakath,"electro corridos, electronic, latin, neoperreo, reggaeton, reggaeton mexa",1,1
Dani Flow,"electro corridos, electronic, latin, neoperreo, reggaeton, reggaeton mexa",1,1
a-ha,"new wave, pop, rock, synthpop",1,0
Jere Klein,"chilean mambo, chilean trap, hip hop, latin, mambo, reggaeton chileno, rkt, turreo",1,1
Gittobeatz,"chilean mambo, chilean trap, hip hop, latin, mambo, reggaeton chileno, rkt, turreo",1,1
Sexyy Red,"hip hop, r&b, rap",4,3
Post Malone,"alt country, americana, bluegrass, country, country hip hop, country rock, hip hop, honky tonk, rock, southern rock",21,20
Swae Lee,,2,2
Glass Animals,,1,0
Macklemore,,1,1
Ryan Lewis,,1,1
Macklemore & Ryan Lewis,,1,1
Ray Dalton,,1,1
ABBA,,2,0
The Kid LAROI,,5,1
Justin Bieber,,7,3
Young Miko,"argentine trap, hip hop, k-pop, latin, pop, reggaeton, trap latino, urbano latino",4,4
Anuv Jain,"hindi indie, hindi pop, indian indie, pop, rock",2,0
OneRepublic,"dance, edm, electronic, pop, soft pop",3,1
JC NO BEAT,"brazilian funk, funk, hip hop, r&b",1,1
DJ F7,"brazilian funk, funk, hip hop, r&b",1,1
MC Meno Dani,"brazilian funk, funk, hip hop, r&b",1,1
Silva Mc,"brazilian funk, funk, hip hop, r&b",1,1
Teddy Swims,,3,0
Alex Favela,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, norteño, reggaeton mexa, sad sierreño, sierreño",1,1
Grupo Marca Registrada,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, norteño, reggaeton mexa, sad sierreño, sierreño",2,2
