Artist,Genres,num_hits,num_collab_hits
Post Malone,"big room, dance, edm, electronic, hip hop, house, hyphy, trance, trap",34,16
21 Savage,"hip hop, rap, southern hip hop, trap",32,16
Camila Cabello,"hip hop, latin, melodic rap, pop, rap, reggaeton, trap",18,6
Young Thug,"emo rap, hip hop, melodic rap, pop, rap, trap",15,15
Dua Lipa,"edm, electronic, electronica, k-pop, moombahton, pop, progressive house",8,4
Selena Gomez,"edm, electronic, latin, pop, reggaeton, soft pop, trap latino, tropical house, urbano latino",7,5
Marshmello,"cloud rap, crunk, edm, electronic, emo rap, hip hop, melodic rap, memphis rap, pop, soft pop",10,10
Ed Sheeran,"hip hop, pop, rap, soft pop",12,4
Eminem,"g-funk, gangster rap, hip hop, pop, rap, soft pop, west coast hip hop",20,10
Luis Fonsi,"dancehall, latin, reggaeton, traditional music, trap latino, urbano latino",9,9
Demi Lovato,latin,10,6
Maroon 5,"hip hop, melodic rap, pop, r&b",10,8
SZA,"edm, electronic, hip hop, pop, r&b, rap, west coast hip hop",12,12
Lil Pump,"electronic, emo rap, hip hop, latin, melodic rap, moombahton, rap, reggaeton, southern hip hop, trap, urbano latino",14,9
G-Eazy,"hip hop, hyphy, memphis rap, pop, rap, soft pop, southern hip hop",6,6
Halsey,"modern rock, rock",7,5
Daddy Yankee,"bachata, bachata pop, dembow, hip hop, latin, pop, reggaeton, trap, trap latino, urbano latino",13,11
Justin Bieber,"alternative hip hop, dance, edm, electronic, hip hop, latin, r&b, rap, reggaeton",12,10
NF,"christian hip hop, hip hop",3,0
Maluma,"brazilian funk, brazilian pop, emo rap, funk, funk carioca, funk pop, hip hop, latin, latin pop, pop, r&b, reggaeton, trap latino, urbano latino",14,9
Nego do Borel,"brazilian funk, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, pop, r&b, reggaeton, urbano latino",2,2
Khalid,"edm, electronic, electronica, hip hop, pop, progressive house, trap",25,15
NATTI NATASHA,"latin, latin pop, pop, reggaeton, trap latino, urbano latino",7,7
Ozuna,"bachata, bachata pop, colombian pop, dembow, hip hop, latin, latin pop, pop, reggaeton, trap, trap latino, urbano latino",31,22
Sam Smith,"edm, electronic, pop, soft pop",6,2
J Balvin,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, bachata, bachata pop, brazilian funk, brazilian pop, dance, dancehall, edm, electronic, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, rap, reggaeton, traditional music, trap latino, urbano latino",24,19
Willy William,"dance, edm, electronic, latin, reggaeton",4,4
A$AP Rocky,"alternative r&b, art pop, crunk, downtempo, electronic, grime, hip hop, hyphy, memphis rap, pop, r&b, rap, southern hip hop, trap, trip hop",23,14
Cardi B,"art pop, hip hop, hyperpop, hyphy, latin, pop, r&b, rap, reggaeton, trap, trap latino, urbano latino",33,24
Beyoncé,"east coast hip hop, hip hop, latin, pop, rap, reggaeton, soft pop",5,4
Portugal. The Man,,1,0
Danny Ocean,"latin, reggaeton",2,0
Bad Bunny,"argentine trap, bachata, bachata pop, dembow, electronic, hip hop, latin, latin hip hop, latin pop, merengue, moombahton, pop, rap, reggaeton, salsa, salsa romantica, trap, trap latino, turreo, urbano latino",25,16
Prince Royce,"bachata, bachata pop, latin, pop, reggaeton, trap latino, urbano latino",3,2
Mambo Kingz,"bachata, bachata pop, hip hop, latin, pop, reggaeton, trap, trap latino, urbano latino",4,4
DJ Luian,"bachata, bachata pop, hip hop, latin, pop, reggaeton, trap, trap latino, urbano latino",4,4
Hailee Steinfeld,"acoustic country, country, edm, electronic, pop country",6,5
Alesso,"acoustic country, country, edm, electronic, pop country",3,2
Florida Georgia Line,"acoustic country, country, edm, electronic, pop country",6,4
WATT,"acoustic country, country, edm, electronic, pop country",2,2
Anitta,"agronejo, arrocha, brazilian funk, brazilian pop, country, forró, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, piseiro, pop, r&b, reggaeton, sertanejo, sertanejo universitário",9,6
Imagine Dragons,"electronic, tropical house",31,2
ZAYN,,9,4
Sia,"big room, dance, edm, electronic, moombahton",12,9
Lil Uzi Vert,"emo rap, hip hop, melodic rap, rage rap, rap, trap",11,9
Becky G,"argentine trap, bachata, bachata pop, dance, dancehall, edm, electronic, hip hop, latin, latin pop, pop, reggaeton, traditional music, trap latino, urbano latino",9,9
Logic,"boom bap, east coast hip hop, edm, electronic, hardcore hip hop, hip hop, pop, rap, soft pop, southern hip hop",33,17
Alessia Cara,"edm, electronic",4,2
French Montana,"art pop, big room, dance, edm, electronic, hip hop, hyperpop, latin, moombahton, pop, rap, reggaeton, trap latino",10,10
Swae Lee,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, crunk, dancehall, electronic, emo rap, hip hop, latin, memphis rap, moombahton, pop, r&b, rap, reggaeton, traditional music, urbano latino",25,25
Bebe Rexha,"acoustic country, art pop, country, dance, edm, electronic, hyperpop, latin, pop, pop country, reggaeton",9,6
Charlie Puth,"new jack swing, pop, quiet storm, r&b, soft pop",12,5
ZAAC,"brazilian funk, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b",1,1
Maejor,"brazilian funk, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b",1,1
Tropkillaz,"brazilian funk, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b",1,1
DJ Yuri Martins,"brazilian funk, brazilian pop, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b",1,1
Quavo,"hip hop, italian trap, melodic rap, rap, southern hip hop, trap",28,22
Kendrick Lamar,"hip hop, r&b, rap, trap, west coast hip hop",20,16
Big Shaq,,1,0
Kygo,"electronic, pop, r&b, soft pop, tropical house",7,7
Justin Jesso,"electronic, tropical house",1,1
Piso 21,"argentine trap, colombian pop, hip hop, latin, pop, pop urbano, reggaeton, trap latino",4,3
Manuel Turizo,"colombian pop, latin, latin pop, pop, pop urbano, reggaeton, trap latino, urbano latino",9,6
Offset,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, latin, melodic rap, pop, r&b, rap, reggaeton, southern hip hop, traditional music, trap",17,17
Metro Boomin,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, latin, melodic rap, pop, r&b, rap, reggaeton, southern hip hop, traditional music, trap",18,18
Clean Bandit,"dancehall, latin, traditional music",7,7
Julia Michaels,"hip hop, melodic rap, pop",7,4
The Chainsmokers,"bass house, country, edm trap, electronic, hip hop",23,13
Coldplay,,3,1
Drake,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, east coast hip hop, hip hop, latin, melodic rap, memphis rap, pop, r&b, rap, reggaeton, southern hip hop, traditional music, trap, trap latino, urbano latino",63,20
Wizkid,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, edm, electronic, hip hop, latin, pop, r&b, rap, reggaeton, traditional music",5,5
Kyla,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, pop, r&b, rap, traditional music",2,2
Shakira,"latin, latin pop, pop, reggaeton, urbano latino",4,4
Nicky Jam,"bachata, bachata pop, dembow, latin, latin pop, pop, reggaeton, trap latino, urbano latino",7,7
Alex Sensation,"latin, reggaeton, trap latino, urbano latino",1,1
Axwell /\ Ingrosso,,4,0
Migos,"edm, electronic, hip hop, melodic rap, rap, southern hip hop, trap",39,18
